latitude,longitude,crime_type,crime_severity,hour,area,is_night
17.337803406808014,78.57240514239655,Robbery,4.6,1,LB Nagar,1
17.397043938484426,78.33743795345873,Drug Offense,3.9,3,Nanakramguda,1
17.41758281272071,78.56475323986906,Eve Teasing,3.8,21,Uppal,1
17.414924096386734,78.35949779776502,Pickpocketing,3.0,4,Financial District,1
17.477532481971387,78.5716657770073,Eve Teasing,2.9,5,Unknown,1
17.52413740791565,78.50895350060262,Assault,9.4,9,Unknown,0
17.59788880392876,78.60685845517442,Cybercrime,4.6,17,Unknown,0
17.436238708569043,78.4845369369235,Chain Snatching,5.9,15,Secunderabad,0
17.416716388362435,78.4226418183353,Cybercrime,9.7,18,Jubilee Hills,0
17.40503657037189,78.3338886324964,Chain Snatching,9.8,11,Nanakramguda,0
17.401755680738628,78.42726580837035,Vandalism,2.2,11,Mehdipatnam,0
17.358843537033593,78.35666152102499,Robbery,5.6,20,Unknown,1
17.51590304265812,78.35680169720447,Robbery,3.1,11,Miyapur,0
17.402620957915413,78.4469123693385,Theft,9.2,17,Banjara Hills,0
17.414095051964356,78.33103302797736,Chain Snatching,6.9,7,Nanakramguda,0
17.381382808976447,78.53724992824773,Theft,3.1,8,Dilsukhnagar,0
17.424994234868205,78.34042612395945,Cybercrime,3.7,13,Financial District,0
17.444230531999466,78.45324108672541,Pickpocketing,2.7,4,Ameerpet,1
17.421330251444036,78.3454528792844,Eve Teasing,3.8,18,Nanakramguda,0
17.407615579463265,78.43490127722885,Theft,2.3,9,Banjara Hills,0
17.340964899025284,78.56547462392716,Drug Offense,9.5,13,LB Nagar,0
17.436761753683577,78.37094182034622,Cybercrime,5.7,4,Gachibowli,1
17.370189056970933,78.47610300430672,Cybercrime,4.0,12,Charminar,0
17.432671501050034,78.47064453887589,Chain Snatching,2.7,6,Ameerpet,0
17.433899217474195,78.37593047361833,Pickpocketing,5.1,10,Hitech City,0
17.412659062754106,78.33470494118707,Vandalism,7.6,5,Financial District,1
17.5617109923551,78.34301378588083,Pickpocketing,2.8,5,Unknown,1
17.437592598946605,78.32915877029546,Vandalism,2.6,17,Gachibowli,0
17.5102064296949,78.41024562097061,Assault,7.3,19,Kukatpally,0
17.561404182982088,78.60428717222455,Eve Teasing,4.5,11,Unknown,0
17.363294939273835,78.45160426766664,Vandalism,2.8,0,Charminar,1
17.25617162684063,78.3875586193974,Pickpocketing,7.0,23,Shamshabad,1
17.392629338702182,78.55816801589386,Assault,4.5,10,Uppal,0
17.42489987757077,78.33602315291469,Assault,9.6,14,Gachibowli,0
17.50371924055733,78.40005726180361,Assault,9.9,7,Kukatpally,0
17.454545530703843,78.39614122930372,Theft,8.3,21,Hitech City,1
17.34290580650477,78.54446677423564,Vandalism,5.8,18,LB Nagar,0
17.441723974977023,78.51171646047575,Assault,7.0,20,Secunderabad,1
17.420905558766584,78.36977232680171,Vandalism,5.2,23,Raidurg,1
17.416729047088253,78.35721467774023,Drug Offense,4.1,14,Nanakramguda,0
17.495619120409916,78.631457461837,Vehicle Theft,4.3,4,Unknown,1
17.385900748863104,78.52453849843134,Robbery,5.3,17,Dilsukhnagar,0
17.38126298323633,78.39092771010415,Vandalism,9.5,6,Unknown,0
17.437900165603786,78.36575731627299,Assault,6.8,12,Raidurg,0
17.34945413232571,78.54888662104686,Chain Snatching,2.8,7,LB Nagar,0
17.256876552071876,78.58186585074885,Chain Snatching,5.3,12,Unknown,0
17.427107549069717,78.41976140487786,Drug Offense,8.1,16,Banjara Hills,0
17.407155248830684,78.39500169150324,Eve Teasing,2.4,9,Raidurg,0
17.42428360469447,78.32890652066484,Vandalism,7.1,11,Nanakramguda,0
17.359775149240157,78.51321345703964,Theft,5.0,18,Dilsukhnagar,0
17.394733178012515,78.6358973293157,Pickpocketing,6.1,23,Unknown,1
17.515883202878445,78.55755179230772,Theft,3.4,6,Unknown,0
17.504754681837085,78.33941198347122,Vandalism,6.8,2,Miyapur,1
17.493589629245754,78.39543442019841,Eve Teasing,5.9,4,Kukatpally,1
17.431722973716646,78.41358560986075,Vandalism,3.9,2,Jubilee Hills,1
17.491150413633708,78.38337834358119,Theft,3.7,22,Miyapur,1
17.296118774034298,78.54292494981439,Robbery,4.5,1,Unknown,1
17.391466111034,78.45355681612715,Eve Teasing,3.6,4,Unknown,1
17.27345332213519,78.4028043015607,Robbery,4.7,18,Shamshabad,0
17.268394502178158,78.40310598050294,Theft,7.7,14,Shamshabad,0
17.444288009115514,78.44670791000996,Drug Offense,9.6,15,Ameerpet,0
17.424376976547258,78.50405946931907,Cybercrime,4.9,6,Secunderabad,0
17.374102871502394,78.5435331197741,Pickpocketing,3.3,23,Dilsukhnagar,1
17.40920139256309,78.33827915236905,Vandalism,8.5,14,Financial District,0
17.415677967784614,78.39390239383368,Robbery,8.7,1,Jubilee Hills,1
17.261710306143932,78.59397749605837,Vandalism,6.3,12,Unknown,0
17.411710657527422,78.36193565412262,Robbery,9.6,15,Nanakramguda,0
17.43680991730615,78.4296667902611,Pickpocketing,8.9,12,Ameerpet,0
17.34474820859516,78.4620409355359,Assault,7.4,8,Charminar,0
17.40690131205256,78.42793949960472,Robbery,9.3,14,Mehdipatnam,0
17.45999669841869,78.36229321497049,Theft,2.4,16,Hitech City,0
17.2589028761097,78.52743968811416,Robbery,4.8,6,Unknown,0
17.430548919626332,78.47627911557332,Cybercrime,5.7,14,Unknown,0
17.41473155788245,78.34707442330436,Chain Snatching,9.2,17,Nanakramguda,0
17.569314727869,78.49503849884324,Vehicle Theft,3.8,23,Unknown,1
17.355293275010858,78.48949212181468,Drug Offense,2.2,16,Charminar,0
17.413665442589537,78.40765093582476,Pickpocketing,8.3,17,Unknown,0
17.325072874658936,78.54447812533027,Cybercrime,6.3,7,LB Nagar,0
17.53657266924088,78.47703135584774,Pickpocketing,9.2,20,Unknown,1
17.543986120923645,78.5040720418606,Drug Offense,3.6,17,Unknown,0
17.4121730772447,78.42093963552387,Vandalism,9.4,16,Banjara Hills,0
17.346396601361274,78.46556160629336,Eve Teasing,4.4,13,Charminar,0
17.4276790798409,78.43492800807287,Eve Teasing,6.0,16,Ameerpet,0
17.369247874446817,78.52391208021875,Theft,7.3,5,Dilsukhnagar,1
17.391623152007273,78.41810467284418,Assault,4.3,0,Tolichowki,1
17.34276963553444,78.47609913972578,Robbery,6.5,0,Charminar,1
17.364779155661232,78.54815605157542,Eve Teasing,5.1,5,LB Nagar,1
17.449337682622076,78.3463435228776,Cybercrime,8.6,8,Gachibowli,0
17.4871419511983,78.41971461503957,Drug Offense,8.9,14,Kukatpally,0
17.246933178036095,78.42621744290149,Chain Snatching,5.4,14,Shamshabad,0
17.40548256001175,78.43964055070722,Eve Teasing,6.5,14,Mehdipatnam,0
17.422190005336745,78.49670544526921,Eve Teasing,6.4,13,Secunderabad,0
17.438539569316,78.33869216246627,Cybercrime,3.6,12,Nanakramguda,0
17.34037946158503,78.4613950547818,Chain Snatching,3.2,6,Unknown,0
17.509074771434417,78.34249957769185,Pickpocketing,5.7,20,Unknown,1
17.238328384001232,78.3988727844331,Robbery,8.5,21,Shamshabad,1
17.440041193119228,78.37304251258985,Vandalism,2.7,7,Hitech City,0
17.452196424531706,78.40015110146801,Theft,9.5,6,Jubilee Hills,0
17.515226630512334,78.36842311886602,Theft,9.2,1,Miyapur,1
17.376574360251897,78.55513585843542,Eve Teasing,7.2,7,Uppal,0
17.33324015720253,78.50135241232122,Pickpocketing,7.0,7,Unknown,0
17.459186257606827,78.50719396613127,Pickpocketing,6.0,5,Secunderabad,1
17.412451961660945,78.41433922929234,Chain Snatching,9.6,11,Tolichowki,0
17.371400752096605,78.5206706788697,Chain Snatching,3.2,19,Dilsukhnagar,0
17.441881687831245,78.34015805133207,Chain Snatching,3.6,5,Gachibowli,1
17.405435239167353,78.42889296044643,Eve Teasing,9.6,0,Banjara Hills,1
17.41204296873345,78.36214721960579,Eve Teasing,3.0,8,Financial District,0
17.43084836768058,78.46456393299276,Vandalism,6.2,3,Ameerpet,1
17.493892292091882,78.39037863935354,Assault,6.5,8,Kukatpally,0
17.425058772080874,78.50848300767517,Vehicle Theft,5.9,9,Secunderabad,0
17.274563213599365,78.40133009791633,Robbery,2.1,0,Shamshabad,1
17.2411420822465,78.3316325212239,Eve Teasing,6.4,19,Unknown,0
17.435542221237025,78.43584028116251,Pickpocketing,3.8,8,Banjara Hills,0
17.43256580709257,78.42639685616827,Assault,8.5,8,Ameerpet,0
17.417666464465732,78.35419405639482,Robbery,4.3,23,Financial District,1
17.40385092206804,78.42218422970252,Pickpocketing,9.1,22,Mehdipatnam,1
17.456764627848447,78.34592859377548,Drug Offense,2.1,3,Gachibowli,1
17.488436899083,78.40592216720776,Theft,3.2,9,Kukatpally,0
17.397770585664635,78.33247959662943,Vandalism,9.8,6,Financial District,0
17.36978367129814,78.53036045920695,Assault,7.7,4,Dilsukhnagar,1
17.374594985014834,78.4638991676783,Assault,4.4,2,Charminar,1
17.450834645478114,78.44532134124093,Eve Teasing,5.5,18,Ameerpet,0
17.43814473898829,78.40991885044207,Theft,9.7,14,Jubilee Hills,0
17.483233119858106,78.36929409317956,Eve Teasing,3.1,10,Miyapur,0
17.48253829520769,78.37736989242391,Assault,5.9,0,Miyapur,1
17.443933923778985,78.39491316134705,Robbery,3.9,5,Jubilee Hills,1
17.42836940157755,78.41458903555338,Pickpocketing,7.6,1,Jubilee Hills,1
17.4175823811186,78.44838148023659,Assault,6.7,16,Ameerpet,0
17.444965335330117,78.3786375090066,Drug Offense,2.9,17,Hitech City,0
17.351565216768737,78.45668528270136,Vandalism,5.6,19,Charminar,0
17.38150840930685,78.43036468007892,Assault,9.1,22,Mehdipatnam,1
17.43305823138083,78.36705969499815,Vehicle Theft,3.9,21,Gachibowli,1
17.346671312204354,78.54379506187969,Eve Teasing,4.7,23,LB Nagar,1
17.436544463785104,78.36152633996433,Vandalism,7.0,15,Raidurg,0
17.39482007607651,78.40398510509571,Vandalism,8.9,1,Tolichowki,1
17.406905767579225,78.44465358073701,Pickpocketing,7.9,14,Banjara Hills,0
17.456456677853026,78.33460501437796,Cybercrime,5.7,21,Gachibowli,1
17.417672777100243,78.43812309801314,Cybercrime,4.2,9,Ameerpet,0
17.50313053799844,78.36123803600644,Pickpocketing,4.8,23,Miyapur,1
17.407281023674056,78.38026588457845,Chain Snatching,4.4,23,Raidurg,1
17.439417745772445,78.34568130615435,Cybercrime,3.5,7,Gachibowli,0
17.45561951294579,78.44212923845727,Drug Offense,6.2,21,Ameerpet,1
17.43650403454991,78.38213602828395,Vehicle Theft,7.7,12,Raidurg,0
17.42628201974222,78.34376856426267,Theft,9.0,6,Nanakramguda,0
17.467056953762057,78.33710026119981,Theft,8.8,2,Unknown,1
17.395739433480053,78.55381511924888,Assault,4.4,12,Uppal,0
17.437399293734508,78.41983769120306,Vandalism,5.5,3,Jubilee Hills,1
17.57365677929056,78.37231528621254,Chain Snatching,6.4,8,Unknown,0
17.418865848619596,78.44101970529552,Drug Offense,7.7,20,Ameerpet,1
17.44483396121166,78.35654209173984,Pickpocketing,2.8,1,Unknown,1
17.359845726003247,78.45474579965988,Assault,9.1,18,Charminar,0
17.442189828148862,78.37837059374459,Robbery,6.2,8,Hitech City,0
17.443004467786352,78.32631171686704,Drug Offense,5.8,2,Gachibowli,1
17.481383220357053,78.41834497110618,Eve Teasing,9.7,16,Kukatpally,0
17.48497975509665,78.39897415845081,Eve Teasing,9.8,6,Kukatpally,0
17.390161231449017,78.56246260256387,Pickpocketing,6.7,0,Uppal,1
17.540321387809506,78.33370543881254,Drug Offense,9.2,16,Unknown,0
17.425447442875605,78.4243769768214,Robbery,2.9,14,Jubilee Hills,0
17.331317031825993,78.30281042076236,Cybercrime,2.3,2,Unknown,1
17.38674879680434,78.41570778394039,Drug Offense,2.8,0,Mehdipatnam,1
17.414009051889998,78.43238910936638,Robbery,8.9,4,Banjara Hills,1
17.42759114952437,78.34281263373751,Assault,7.4,8,Financial District,0
17.379266222284333,78.48968663413636,Vandalism,4.6,16,Unknown,0
17.42589588165464,78.34017142089364,Chain Snatching,6.6,15,Financial District,0
17.41643793307038,78.33848839264616,Drug Offense,4.2,10,Financial District,0
17.39697168978161,78.57068620765139,Eve Teasing,7.8,5,Uppal,1
17.42581894743708,78.34282032770587,Assault,8.9,23,Gachibowli,1
17.3944942750793,78.55006741246937,Eve Teasing,9.2,0,Uppal,1
17.376519510629056,78.51876826190839,Drug Offense,6.6,22,Dilsukhnagar,1
17.403349976440442,78.43602238989358,Robbery,4.0,22,Tolichowki,1
17.411277968865637,78.57516400241738,Chain Snatching,2.9,10,Uppal,0
17.510565311122136,78.35347930136064,Vehicle Theft,7.6,17,Miyapur,0
17.363494973769615,78.53828862273114,Assault,3.0,20,Dilsukhnagar,1
17.519552222914292,78.36846913484284,Drug Offense,6.6,5,Unknown,1
17.42439049978811,78.43756530430646,Chain Snatching,3.4,16,Banjara Hills,0
17.43686308754906,78.44830779483547,Chain Snatching,9.3,14,Ameerpet,0
17.432273674959713,78.43979613409319,Drug Offense,6.8,22,Ameerpet,1
17.483228043085074,78.30337284680512,Eve Teasing,7.4,5,Unknown,1
17.43935303021239,78.38011710360594,Assault,5.3,20,Hitech City,1
17.35274989655041,78.47639895192272,Chain Snatching,5.6,11,Charminar,0
17.42722860096015,78.35579144205275,Cybercrime,6.1,9,Financial District,0
17.490233451148793,78.41510003603341,Cybercrime,9.1,10,Kukatpally,0
17.413155547261045,78.43170620066826,Pickpocketing,9.9,0,Unknown,1
17.365605355651606,78.54916285998081,Pickpocketing,3.7,11,LB Nagar,0
17.436578152161516,78.34677022122577,Chain Snatching,8.6,0,Financial District,1
17.422477559025467,78.40610247048873,Chain Snatching,10.0,7,Jubilee Hills,0
17.43589868593743,78.3481525776116,Cybercrime,5.3,16,Financial District,0
17.372914268486014,78.48792437556203,Vehicle Theft,2.0,16,Charminar,0
17.427002666678412,78.36031558863637,Robbery,2.9,1,Raidurg,1
17.279719651256706,78.52951764464301,Chain Snatching,2.8,11,Unknown,0
17.44539166274462,78.38117068515749,Cybercrime,5.5,1,Raidurg,1
17.260449299258564,78.40095172532364,Eve Teasing,9.4,9,Shamshabad,0
17.480268734757143,78.367621257102,Vehicle Theft,8.0,7,Miyapur,0
17.470701913863657,78.63699182024159,Robbery,10.0,22,Unknown,1
17.513668618031183,78.34849550106901,Chain Snatching,8.9,6,Miyapur,0
17.45096788389097,78.50028647045436,Assault,4.4,9,Unknown,0
17.436466281261378,78.44919138116619,Drug Offense,9.0,12,Unknown,0
17.24952091662396,78.5867553347588,Chain Snatching,4.3,7,Unknown,0
17.358474008320837,78.53563407541212,Vehicle Theft,6.6,20,LB Nagar,1
17.570991013163052,78.48093053817553,Vehicle Theft,4.4,5,Unknown,1
17.501443945573403,78.34816329265665,Vehicle Theft,9.1,19,Miyapur,0
17.419053595552693,78.36763290200571,Drug Offense,8.2,18,Unknown,0
17.433504606416406,78.42676282265106,Assault,9.9,7,Jubilee Hills,0
17.507015905531116,78.35942027264753,Assault,9.7,5,Miyapur,1
17.43116201872748,78.44011172324785,Chain Snatching,4.2,1,Ameerpet,1
17.447567358351314,78.41458206559632,Cybercrime,4.5,5,Jubilee Hills,1
17.42495122165744,78.38262118601163,Pickpocketing,8.5,1,Raidurg,1
17.393559681208206,78.33492232829695,Drug Offense,3.6,23,Financial District,1
17.33757986215597,78.55331274528749,Drug Offense,8.8,16,Unknown,0
17.41029803601424,78.55039042331143,Eve Teasing,7.8,10,Uppal,0
17.45109566241934,78.43752331974274,Cybercrime,9.3,9,Ameerpet,0
17.386006410247056,78.4167706671104,Pickpocketing,2.6,18,Mehdipatnam,0
17.268358140748756,78.42263031118507,Assault,8.5,20,Shamshabad,1
17.452155754665046,78.33206426696071,Vandalism,8.5,19,Gachibowli,0
17.388346831185434,78.42635910727827,Vehicle Theft,9.8,18,Mehdipatnam,0
17.431680116539468,78.49041411814264,Assault,5.5,1,Secunderabad,1
17.400890423412466,78.419643365375,Chain Snatching,4.8,22,Tolichowki,1
17.361427463807505,78.54755957484386,Robbery,8.5,4,Unknown,1
17.379870028091485,78.44101541812238,Assault,9.0,14,Mehdipatnam,0
17.305720524397184,78.35132394187228,Vehicle Theft,8.4,20,Unknown,1
17.45695258195634,78.38381078574993,Vandalism,5.4,20,Hitech City,1
17.42809556115643,78.34590692469615,Pickpocketing,7.3,20,Gachibowli,1
17.385167873742056,78.51828780421913,Vandalism,8.2,13,Dilsukhnagar,0
17.40951866458588,78.55684639594803,Pickpocketing,6.0,13,Uppal,0
17.426102590246188,78.3376180276558,Theft,4.9,13,Nanakramguda,0
17.440104261920666,78.48629300711934,Chain Snatching,3.2,19,Secunderabad,0
17.437266740697364,78.397205532089,Eve Teasing,8.8,19,Jubilee Hills,0
17.418031899076915,78.36511027852112,Vehicle Theft,3.2,23,Raidurg,1
17.260470000437596,78.58901927995817,Robbery,6.1,11,Unknown,0
17.332244436373283,78.55647066774064,Assault,2.5,19,LB Nagar,0
17.43468323671073,78.41520768820543,Eve Teasing,9.5,16,Jubilee Hills,0
17.374478704808368,78.44540896877109,Pickpocketing,9.6,10,Unknown,0
17.396187923961246,78.39826928782138,Assault,5.3,20,Tolichowki,1
17.30206627128282,78.53740072218368,Assault,6.8,22,Unknown,1
17.43890857595609,78.3862315897239,Eve Teasing,7.1,10,Jubilee Hills,0
17.27203427980599,78.4004244996184,Vandalism,8.3,19,Shamshabad,0
17.357757520748613,78.47016203039415,Robbery,9.8,19,Charminar,0
17.442575037216606,78.43838306433247,Vehicle Theft,4.0,11,Ameerpet,0
17.446327981774477,78.63156333932675,Chain Snatching,3.0,12,Unknown,0
17.410986011908186,78.32881439255763,Chain Snatching,4.0,22,Nanakramguda,1
17.416534377495054,78.56152528411651,Chain Snatching,7.8,20,Uppal,1
17.45074946278028,78.63516530416986,Theft,6.8,17,Unknown,0
17.421374761008387,78.5950104952267,Pickpocketing,6.5,13,Unknown,0
17.481909509452134,78.38156644216454,Robbery,2.8,12,Kukatpally,0
17.41076035299952,78.41345238399082,Vandalism,8.3,23,Tolichowki,1
17.436618826325248,78.49826805001523,Theft,7.4,15,Secunderabad,0
17.438384708197862,78.51732623481325,Vandalism,4.7,16,Unknown,0
17.412418128267902,78.35529866628926,Robbery,8.5,19,Nanakramguda,0
17.398093896716052,78.54387389594795,Vandalism,2.1,4,Uppal,1
17.397591572421863,78.34548724322026,Drug Offense,5.2,11,Nanakramguda,0
17.57219241354086,78.30939391033526,Cybercrime,9.4,14,Unknown,0
17.493411075819758,78.53660056216235,Chain Snatching,6.2,8,Unknown,0
17.375826090704333,78.46896826442372,Drug Offense,7.7,18,Charminar,0
17.386919724968067,78.39457687296861,Vandalism,2.4,21,Tolichowki,1
17.36173551006161,78.48029579480755,Vehicle Theft,5.0,0,Charminar,1
17.35209510761194,78.45896340009223,Vehicle Theft,7.0,6,Charminar,0
17.387368949374057,78.52208115158543,Robbery,6.9,18,Dilsukhnagar,0
17.358752961678107,78.57027910530162,Vehicle Theft,3.0,17,LB Nagar,0
17.499505015769884,78.37876655494468,Vandalism,6.1,8,Miyapur,0
17.3777432823748,78.51940260325844,Robbery,4.9,11,Dilsukhnagar,0
17.430057062049986,78.49160453324204,Cybercrime,4.1,11,Secunderabad,0
17.417924574319063,78.38307294692152,Vandalism,3.7,16,Raidurg,0
17.39233709589203,78.42535731451,Vandalism,8.4,10,Tolichowki,0
17.309888490230385,78.54222278667024,Assault,9.2,6,Unknown,0
17.354009545656712,78.44221091948175,Theft,3.0,4,Unknown,1
17.421371282881886,78.32393545486376,Vehicle Theft,2.5,16,Nanakramguda,0
17.444876161747835,78.4859153466004,Assault,5.4,22,Secunderabad,1
17.359435857545048,78.4779445318447,Vandalism,4.5,11,Charminar,0
17.44107248928886,78.39733479457475,Vandalism,6.5,17,Hitech City,0
17.40082446704185,78.57373597606244,Drug Offense,5.1,21,Uppal,1
17.399290818039297,78.57268986645533,Eve Teasing,8.9,18,Uppal,0
17.514052550630392,78.39360442065065,Theft,9.0,1,Kukatpally,1
17.421935245790596,78.4342062414183,Assault,5.1,21,Ameerpet,1
17.432921471081308,78.33245952554539,Chain Snatching,8.3,18,Financial District,0
17.43253638127764,78.40109155736218,Vehicle Theft,8.2,3,Jubilee Hills,1
17.420747660097344,78.41170004983172,Eve Teasing,2.1,13,Jubilee Hills,0
17.418015060105176,78.42409747811496,Drug Offense,7.1,8,Tolichowki,0
17.409198136030284,78.43080164011147,Robbery,3.1,20,Mehdipatnam,1
17.4371371666202,78.36635860289614,Robbery,4.1,12,Raidurg,0
17.399406578542127,78.43294094432139,Assault,2.7,9,Tolichowki,0
17.49207247876528,78.36885158556878,Assault,6.6,17,Unknown,0
17.366957245597685,78.50857251753008,Pickpocketing,4.8,14,Dilsukhnagar,0
17.510776344311672,78.37162035427687,Chain Snatching,2.4,3,Miyapur,1
17.355960540131353,78.49717746651322,Pickpocketing,5.5,15,Charminar,0
17.49821656760394,78.3562634260821,Chain Snatching,8.0,12,Miyapur,0
17.347905526429397,78.53305385437719,Eve Teasing,6.0,10,Dilsukhnagar,0
17.27761626030576,78.47992878878884,Pickpocketing,6.3,2,Unknown,1
17.384602988861186,78.52414695395846,Vandalism,8.1,14,Dilsukhnagar,0
17.43085242182008,78.3483545399495,Vehicle Theft,2.2,2,Financial District,1
17.382002291093137,78.54965676909941,Chain Snatching,7.5,8,Uppal,0
17.55253765492976,78.55592605200961,Vehicle Theft,4.1,0,Unknown,1
17.22118515207304,78.41051243254144,Robbery,7.0,1,Unknown,1
17.470717527277483,78.48021629660983,Vandalism,9.3,22,Unknown,1
17.380151117593293,78.53241834247065,Theft,6.2,4,Dilsukhnagar,1
17.456773205508345,78.49540164110925,Assault,8.5,14,Secunderabad,0
17.345502493347034,78.45901911668291,Eve Teasing,8.1,11,Charminar,0
17.384475291028217,78.42166966337682,Vandalism,8.3,15,Mehdipatnam,0
17.418183312348212,78.55622315104266,Vandalism,8.7,22,Uppal,1
17.422021540081666,78.3247656297877,Eve Teasing,8.3,17,Financial District,0
17.453865961858444,78.38476349532797,Vandalism,8.6,20,Hitech City,1
17.48391924163932,78.34729267563885,Vehicle Theft,5.6,18,Miyapur,0
17.413707168384555,78.42484957695659,Pickpocketing,4.5,2,Mehdipatnam,1
17.261155778957992,78.39415555698882,Vandalism,2.3,1,Shamshabad,1
17.409578766116784,78.42867836358288,Eve Teasing,7.5,13,Mehdipatnam,0
17.428967398204637,78.38905402031786,Cybercrime,3.5,15,Jubilee Hills,0
17.46652628279872,78.48536498469909,Vandalism,5.9,15,Unknown,0
17.485232765545994,78.34911501261325,Drug Offense,5.5,15,Miyapur,0
17.49582209688282,78.55996515694916,Assault,9.8,2,Unknown,1
17.41163023003295,78.45554753092337,Vandalism,2.6,8,Banjara Hills,0
17.400454422816402,78.43488990761082,Vehicle Theft,4.2,11,Banjara Hills,0
17.4318673351007,78.40253397246062,Robbery,7.0,18,Jubilee Hills,0
17.43013286163466,78.44184824423935,Theft,2.0,21,Ameerpet,1
17.39886036046398,78.35526725987049,Chain Snatching,7.6,5,Nanakramguda,1
17.387712954422994,78.42224714869715,Chain Snatching,7.8,3,Tolichowki,1
17.496472102323892,78.33797638966655,Vandalism,3.7,3,Miyapur,1
17.218540533074076,78.62933901781878,Eve Teasing,3.3,0,Unknown,1
17.478691567834584,78.39639756257073,Chain Snatching,2.4,4,Kukatpally,1
17.54130022225487,78.58108801689049,Cybercrime,8.6,8,Unknown,0
17.378492286388838,78.44305922981451,Cybercrime,7.0,3,Mehdipatnam,1
17.394787399810944,78.41917803152299,Robbery,3.8,19,Tolichowki,0
17.438366566894572,78.38230456532146,Robbery,9.7,10,Raidurg,0
17.424806445704384,78.38654978832606,Assault,7.3,20,Hitech City,1
17.44552111468205,78.39628312381775,Vehicle Theft,3.2,20,Jubilee Hills,1
17.419376758103095,78.55266967423375,Pickpocketing,6.3,21,Uppal,1
17.410629438307186,78.39779664908299,Theft,4.0,17,Raidurg,0
17.371145854205082,78.51854361399454,Robbery,8.1,18,Dilsukhnagar,0
17.382019258769642,78.51189174882967,Vehicle Theft,7.4,21,Dilsukhnagar,1
17.38894259142381,78.41618142538671,Pickpocketing,5.0,12,Mehdipatnam,0
17.33772085991914,78.40982212309883,Eve Teasing,5.2,9,Unknown,0
17.403612310135287,78.56843830559525,Vandalism,7.5,6,Uppal,0
17.375072135340393,78.52763002917453,Pickpocketing,9.9,10,Dilsukhnagar,0
17.397087682981276,78.35355598665046,Theft,4.4,2,Nanakramguda,1
17.438325351009688,78.3963565797727,Theft,2.9,16,Hitech City,0
17.396067985068818,78.40167795761816,Vehicle Theft,6.5,18,Tolichowki,0
17.41868680525602,78.45819327714038,Vehicle Theft,9.7,6,Ameerpet,0
17.445619519973544,78.39495911628293,Vandalism,8.7,15,Unknown,0
17.422975734054756,78.50378086174501,Theft,5.7,20,Secunderabad,1
17.478385216366227,78.38661398843865,Robbery,7.0,10,Kukatpally,0
17.366107262988585,78.49488041724425,Drug Offense,6.8,3,Charminar,1
