id,city,parking_name,latitude,longitude,area,capacity,available_spaces,occupancy_percentage,parking_type,fee_per_hour,safety_score,lighting_score,cctv_score,security_guard,walking_distance_m,ev_charging,accessible_parking,status,last_updated
8911a4e1-f9e9-4f17-b5a8-f3cc722a608b,bengaluru,Whitefield Transit Parking,12.92302,77.560004,Whitefield,422,40,90.45,Street,40,3.3,3.2,4.0,True,740,False,True,Active,2026-07-31T19:24:42.969270+00:00
2c25ae5d-04ed-4bff-8a51-df81c0b69df3,bengaluru,Brigade Road Parking Zone,12.910867,77.797495,Brigade Road,90,50,44.12,Open Lot,60,5.5,4.7,7.6,True,161,True,True,Active,2026-07-31T19:24:42.969283+00:00
6c5951cc-8c1c-4e8e-b0e8-5b6a455569f1,bengaluru,Malleshwaram Transit Parking,13.039506,77.53925,Malleshwaram,310,150,51.61,Mall Parking,40,2.6,4.5,4.8,False,269,False,True,Active,2026-07-31T19:24:42.969294+00:00
31578d47-5c58-4fa4-b62b-ebf8ee633def,bengaluru,Rajajinagar Transit Parking,13.082526,77.672874,Rajajinagar,441,148,66.29,Open Lot,40,7.9,8.1,8.9,True,145,False,False,Active,2026-07-31T19:24:42.969305+00:00
fc2ab647-cb66-4168-970b-10a7aa00c74b,bengaluru,HSR Layout Smart Parking,12.993234,77.593073,HSR Layout,479,47,90.1,Mall Parking,20,6.4,5.5,6.7,True,629,True,True,Active,2026-07-31T19:24:42.969316+00:00
18ed478f-5a79-4f5b-a1ad-3dc2836cbca1,bengaluru,Rajajinagar Public Parking,12.917151,77.666197,Rajajinagar,234,13,94.18,Multi-level,50,4.4,6.0,6.9,False,444,False,True,Active,2026-07-31T19:24:42.969327+00:00
bdea5aff-b852-45a9-9761-6aa503cbff90,bengaluru,HSR Layout Smart Parking,12.872815,77.578591,HSR Layout,400,220,44.97,Underground,50,6.0,9.5,8.3,False,73,False,True,Active,2026-07-31T19:24:42.969338+00:00
7da07184-c785-4651-a5db-ac9172cbe8f5,bengaluru,Electronic City Parking Zone,12.98127,77.6587,Electronic City,420,220,47.45,Underground,60,6.0,5.0,6.3,True,400,True,True,Active,2026-07-31T19:24:42.969349+00:00
030dfe35-52db-4c33-9f5a-93a4d456e0fe,bengaluru,Whitefield Public Parking,12.81977,77.728578,Whitefield,158,102,35.42,Mall Parking,40,4.3,9.5,5.1,False,145,True,True,Active,2026-07-31T19:24:42.969360+00:00
691b691d-2ad8-4c7d-a2f4-048413992505,bengaluru,Rajajinagar Smart Parking,12.866078,77.601815,Rajajinagar,186,40,78.03,Street,60,6.4,9.1,5.9,True,87,False,True,Active,2026-07-31T19:24:42.969371+00:00
899712d0-a0cf-4174-8ffd-9917a5a49359,bengaluru,Hebbal Transit Parking,12.850552,77.780216,Hebbal,190,135,28.48,Mall Parking,30,6.6,9.3,6.3,True,418,False,True,Active,2026-07-31T19:24:42.969381+00:00
4ca742cd-8dd9-46b4-9fa0-22ec4a5ad67a,bengaluru,Jayanagar Public Parking,12.850691,77.719825,Jayanagar,55,29,45.65,Underground,40,4.2,3.4,5.4,True,603,False,False,Active,2026-07-31T19:24:42.969393+00:00
c039b1a2-e5c0-4f7b-b9a8-ce70a8d073c3,bengaluru,Hebbal Smart Parking,13.026793,77.573505,Hebbal,135,33,75.25,Open Lot,60,5.9,5.4,6.0,True,379,False,True,Active,2026-07-31T19:24:42.969405+00:00
d3a6c4c5-0d95-4a5c-9da7-3883d7784a19,bengaluru,HSR Layout Public Parking,13.023692,77.599834,HSR Layout,83,4,94.25,Multi-level,30,6.0,5.1,8.8,True,607,True,True,Active,2026-07-31T19:24:42.969417+00:00
ef5cf56c-911a-4e63-99bb-6ac66ea5e07d,bengaluru,Jayanagar Public Parking,12.845129,77.560809,Jayanagar,441,164,62.76,Multi-level,50,4.2,3.2,9.1,False,57,True,False,Active,2026-07-31T19:24:42.969428+00:00
4715d8c9-0091-46e8-a543-b5c0d6688a3b,bengaluru,Marathahalli Public Parking,13.068603,77.562511,Marathahalli,167,71,57.43,Mall Parking,40,2.2,5.0,5.4,False,340,True,False,Active,2026-07-31T19:24:42.969440+00:00
17402834-3936-4106-9718-484f4b339abb,bengaluru,MG Road Transit Parking,13.022272,77.521764,MG Road,417,206,50.46,Multi-level,40,4.5,8.8,5.0,False,637,True,True,Active,2026-07-31T19:24:42.969450+00:00
12cc4bfa-1b74-4f62-8b78-ff762bc705a7,bengaluru,Brigade Road Transit Parking,13.034692,77.688735,Brigade Road,292,38,86.95,Open Lot,20,3.3,3.5,7.4,False,212,True,True,Active,2026-07-31T19:24:42.969461+00:00
cb5a25ff-25cf-4951-ac0f-0799e0ee2152,bengaluru,Bellandur Public Parking,12.991688,77.781209,Bellandur,188,72,61.67,Multi-level,60,5.8,6.6,5.6,True,561,True,False,Active,2026-07-31T19:24:42.969473+00:00
f1688f7a-ad37-4a78-9aee-f73c91e7cf27,bengaluru,Yelahanka Parking Zone,13.064443,77.747837,Yelahanka,500,310,37.91,Open Lot,60,3.6,3.1,3.8,True,355,True,True,Active,2026-07-31T19:24:42.969484+00:00
23eae859-c41a-47f5-8dfd-1449018d3160,bengaluru,Marathahalli Smart Parking,13.053655,77.669233,Marathahalli,394,56,85.58,Multi-level,40,7.8,9.9,6.5,True,733,True,False,Active,2026-07-31T19:24:42.969495+00:00
1e3bff59-53fd-48bf-9173-2abab9db11f5,bengaluru,Jayanagar Transit Parking,12.80755,77.598613,Jayanagar,486,328,32.48,Street,20,4.8,8.3,6.5,False,632,False,True,Active,2026-07-31T19:24:42.969507+00:00
e614671d-4905-42fa-9db2-890546e3339c,bengaluru,Whitefield Smart Parking,12.883842,77.71747,Whitefield,357,186,47.63,Underground,40,4.0,4.5,9.0,False,105,False,True,Active,2026-07-31T19:24:42.969519+00:00
0b1a7067-1183-47ff-96e7-227252380fa9,bengaluru,Koramangala Parking Zone,13.046088,77.609953,Koramangala,444,272,38.53,Street,30,4.7,3.8,6.2,True,95,False,False,Active,2026-07-31T19:24:42.969531+00:00
d61b1332-c5d2-4967-8729-099b8a95d9f6,bengaluru,Yelahanka Transit Parking,12.812669,77.631515,Yelahanka,316,214,32.21,Street,50,6.5,7.8,6.7,True,353,False,True,Active,2026-07-31T19:24:42.969541+00:00
9f489472-31a8-49f1-a565-3c748f64c990,bengaluru,Brigade Road Public Parking,12.915841,77.796741,Brigade Road,202,144,28.45,Mall Parking,20,5.1,5.1,6.2,True,779,False,True,Active,2026-07-31T19:24:42.969552+00:00
b38504fa-ba2d-412f-8bbb-99851eba36b8,bengaluru,MG Road Transit Parking,13.030119,77.67873,MG Road,400,332,16.87,Open Lot,50,6.8,9.0,6.4,True,705,False,True,Active,2026-07-31T19:24:42.969563+00:00
5d7d1405-67e4-4beb-9eed-b6964e0dac24,bengaluru,Indiranagar Public Parking,12.839922,77.637141,Indiranagar,364,50,86.17,Mall Parking,40,5.2,6.9,3.8,True,711,False,False,Active,2026-07-31T19:24:42.969573+00:00
ebcadfc3-9022-4c04-b969-f6d0b0ea5f18,bengaluru,Jayanagar Public Parking,13.045808,77.579742,Jayanagar,183,92,49.44,Mall Parking,20,3.0,3.1,3.9,True,252,False,False,Active,2026-07-31T19:24:42.969585+00:00
48132d40-2abf-4e65-afea-599a83435ea0,bengaluru,Yelahanka Smart Parking,12.830518,77.535243,Yelahanka,63,29,52.91,Open Lot,40,5.3,8.6,5.9,False,136,True,False,Active,2026-07-31T19:24:42.969596+00:00
cb196731-5132-4b2f-be15-24d58676b218,bengaluru,HSR Layout Parking Zone,13.061917,77.696345,HSR Layout,333,186,43.99,Multi-level,60,5.7,6.5,9.3,False,638,True,True,Active,2026-07-31T19:24:42.969609+00:00
0528c147-0e0d-42bb-adbd-a38e830ecf84,bengaluru,Bellandur Transit Parking,13.039076,77.707513,Bellandur,345,60,82.34,Street,60,5.9,9.0,4.4,True,231,True,False,Active,2026-07-31T19:24:42.969620+00:00
9259c2bd-4ee1-4c6a-a611-5a5077c83d63,bengaluru,MG Road Transit Parking,12.911299,77.739773,MG Road,494,360,26.93,Mall Parking,60,2.9,3.3,6.1,False,407,True,True,Active,2026-07-31T19:24:42.969631+00:00
fd706faa-5b67-465c-8851-5ba8f4ed9ed6,bengaluru,HSR Layout Parking Zone,13.03086,77.587023,HSR Layout,317,23,92.69,Multi-level,30,3.8,5.4,7.0,False,326,False,False,Active,2026-07-31T19:24:42.969642+00:00
ccb65fc0-0508-4a1d-90c4-fd4d3f4cd558,bengaluru,Jayanagar Smart Parking,12.809834,77.580445,Jayanagar,131,29,77.57,Multi-level,50,7.3,9.3,6.2,True,697,False,False,Active,2026-07-31T19:24:42.969652+00:00
db98cec7-bb12-4a94-b08e-608aadfd9695,bengaluru,Marathahalli Public Parking,12.96625,77.527625,Marathahalli,195,70,63.68,Open Lot,40,3.3,9.5,3.3,False,745,True,True,Active,2026-07-31T19:24:42.969663+00:00
04c75f58-6fda-42f9-8565-a08d122a15f3,bengaluru,Rajajinagar Transit Parking,12.874397,77.745542,Rajajinagar,225,34,84.78,Underground,50,5.8,4.8,8.5,True,268,True,False,Active,2026-07-31T19:24:42.969673+00:00
95335251-f208-4ec2-8bb5-bdf1c47fcbf5,bengaluru,Koramangala Public Parking,12.807993,77.708191,Koramangala,120,90,24.34,Mall Parking,60,5.1,7.2,4.8,True,718,True,True,Active,2026-07-31T19:24:42.969684+00:00
0c8fb626-2e9a-423a-89dd-a6ead756d049,bengaluru,MG Road Parking Zone,12.891816,77.567333,MG Road,470,227,51.68,Street,30,5.7,6.0,5.8,True,582,True,True,Active,2026-07-31T19:24:42.969698+00:00
2fa17e93-01fc-4aa9-90d7-3e19ee470bbe,bengaluru,Brigade Road Smart Parking,13.097039,77.65498,Brigade Road,203,54,73.2,Multi-level,40,4.8,4.1,7.9,True,431,True,False,Active,2026-07-31T19:24:42.969709+00:00
a3bd9e9a-bbb0-45dc-b0ad-c612af003e48,bengaluru,Koramangala Transit Parking,13.066616,77.740615,Koramangala,236,176,25.31,Multi-level,40,7.0,8.5,5.2,True,102,True,True,Active,2026-07-31T19:24:42.969721+00:00
91def8a1-35e1-42a6-88b9-460c80ff701e,bengaluru,HSR Layout Public Parking,12.852259,77.658847,HSR Layout,185,44,76.08,Street,40,3.8,8.4,5.0,False,459,True,True,Active,2026-07-31T19:24:42.969733+00:00
aee5e9c4-18c8-45de-a296-f33e8e261a1f,bengaluru,Yelahanka Public Parking,13.032178,77.679896,Yelahanka,304,236,22.13,Underground,50,4.3,4.3,8.0,False,180,False,True,Active,2026-07-31T19:24:42.969744+00:00
0c56ef40-fe50-41dd-85c4-a170ee126c1a,bengaluru,HSR Layout Public Parking,12.930337,77.755461,HSR Layout,426,263,38.24,Underground,30,3.9,9.0,3.8,False,733,True,False,Active,2026-07-31T19:24:42.969755+00:00
d0f0fb41-af0b-47ba-921b-8319110a1958,bengaluru,Banashankari Public Parking,12.991228,77.597345,Banashankari,201,26,86.92,Open Lot,50,4.4,5.7,7.4,False,164,False,True,Active,2026-07-31T19:24:42.969766+00:00
06e78736-4681-4871-bf46-f6f9b5d14aaf,bengaluru,Electronic City Parking Zone,13.053822,77.636351,Electronic City,139,112,18.93,Underground,30,5.7,7.7,4.0,True,295,False,True,Active,2026-07-31T19:24:42.969787+00:00
d9956961-7cad-44f7-8786-3f58b890565b,bengaluru,HSR Layout Parking Zone,13.070026,77.716078,HSR Layout,410,170,58.4,Open Lot,60,3.1,5.0,4.5,False,70,False,True,Active,2026-07-31T19:24:42.969800+00:00
fe60171c-0ff8-489c-b109-04848ad4f153,bengaluru,Whitefield Parking Zone,12.947653,77.779425,Whitefield,127,81,35.66,Street,60,5.5,5.8,6.1,True,146,True,False,Active,2026-07-31T19:24:42.969810+00:00
2c386c02-71cf-4063-880c-0def5de2eb87,bengaluru,Indiranagar Parking Zone,12.887023,77.681647,Indiranagar,417,76,81.58,Street,20,6.7,9.4,6.1,True,475,False,False,Active,2026-07-31T19:24:42.969822+00:00
c363d170-484e-4b16-84d3-e3a58fd48591,bengaluru,Whitefield Parking Zone,12.908661,77.69213,Whitefield,497,45,90.75,Street,50,6.5,4.5,9.6,True,654,True,True,Active,2026-07-31T19:24:42.969833+00:00
3ac4345e-1d5a-4a87-a473-c632301bd1ac,bengaluru,Marathahalli Transit Parking,12.922284,77.686589,Marathahalli,490,307,37.16,Multi-level,40,2.9,8.3,3.6,False,761,False,False,Active,2026-07-31T19:24:42.969846+00:00
27363fe0-872f-42bf-9b9a-691ab9214189,bengaluru,Banashankari Parking Zone,12.94629,77.62848,Banashankari,71,37,46.86,Street,30,3.7,4.5,8.0,False,751,False,False,Active,2026-07-31T19:24:42.969857+00:00
26b8e63f-dfba-4404-a5de-93afe59b485a,bengaluru,Marathahalli Public Parking,12.925179,77.767092,Marathahalli,287,41,85.66,Open Lot,20,5.7,4.9,8.3,True,350,True,True,Active,2026-07-31T19:24:42.969869+00:00
2db355cf-56ec-404e-a40e-1f51415f42e3,bengaluru,Brigade Road Smart Parking,12.940938,77.530481,Brigade Road,461,24,94.71,Open Lot,30,7.3,7.3,7.6,True,728,False,False,Active,2026-07-31T19:24:42.969880+00:00
ec12d937-b612-4e7f-aad7-f0a0cfa67b76,bengaluru,Rajajinagar Transit Parking,13.079333,77.789727,Rajajinagar,213,99,53.23,Multi-level,30,7.3,6.5,9.1,True,226,False,True,Active,2026-07-31T19:24:42.969890+00:00
170c5921-b582-41d2-91e0-6afbdd316b04,bengaluru,Koramangala Parking Zone,12.981353,77.560113,Koramangala,442,180,59.24,Multi-level,20,3.3,3.6,3.1,True,392,True,True,Active,2026-07-31T19:24:42.969901+00:00
d7f77c83-69f9-4c34-891e-cf78ae779fbb,bengaluru,HSR Layout Parking Zone,12.977362,77.562567,HSR Layout,427,122,71.25,Street,60,4.2,8.6,6.8,False,110,False,False,Active,2026-07-31T19:24:42.969912+00:00
9a12dfef-7cf6-490a-9ab4-ba9e93bea358,bengaluru,Marathahalli Parking Zone,12.878225,77.708076,Marathahalli,460,283,38.44,Multi-level,50,3.8,6.0,6.9,False,326,True,False,Active,2026-07-31T19:24:42.969924+00:00
19ed80a3-ef3b-4db6-b0b1-86cfda9d2b0f,bengaluru,Whitefield Smart Parking,12.807883,77.667793,Whitefield,176,61,65.03,Multi-level,50,4.2,7.3,6.1,False,421,True,True,Active,2026-07-31T19:24:42.969937+00:00
21d05462-96e0-4416-aa8a-390927d106ff,bengaluru,Bellandur Transit Parking,12.877886,77.743341,Bellandur,169,10,93.55,Open Lot,20,3.7,4.8,8.5,False,592,False,True,Active,2026-07-31T19:24:42.969948+00:00
a75eafef-8dde-44ad-bd1a-c85716776f64,bengaluru,Koramangala Parking Zone,13.004875,77.718284,Koramangala,128,79,37.56,Mall Parking,60,5.2,5.1,5.8,True,787,True,True,Active,2026-07-31T19:24:42.969961+00:00
77d09dcc-2165-4010-b2f5-94012e9a8ff8,bengaluru,Electronic City Transit Parking,12.910863,77.649201,Electronic City,437,318,27.03,Street,20,2.9,3.3,7.7,False,521,False,False,Active,2026-07-31T19:24:42.969972+00:00
3d926632-59f0-4069-a9d7-2c76c5dd460f,bengaluru,Brigade Road Smart Parking,13.05483,77.617172,Brigade Road,51,9,81.44,Open Lot,60,3.9,6.7,6.6,False,793,True,False,Active,2026-07-31T19:24:42.970015+00:00
264bf861-544f-49ce-bc88-7d23259d9d39,bengaluru,Koramangala Smart Parking,13.027275,77.518405,Koramangala,345,20,93.95,Open Lot,30,3.4,3.3,4.9,True,358,False,False,Active,2026-07-31T19:24:42.970028+00:00
b97d526b-ecfa-4875-a918-f7a3833c473b,bengaluru,MG Road Public Parking,12.900143,77.516569,MG Road,253,219,13.15,Open Lot,40,6.4,6.8,7.8,True,172,False,False,Active,2026-07-31T19:24:42.970040+00:00
07f93aef-cf40-430c-83e3-4fd1a755a3ef,bengaluru,Malleshwaram Parking Zone,13.015536,77.705907,Malleshwaram,158,27,82.81,Street,40,3.5,6.7,7.1,False,129,True,False,Active,2026-07-31T19:24:42.970051+00:00
f5a81884-3755-4053-b271-d213d825616d,bengaluru,Marathahalli Smart Parking,12.834965,77.741806,Marathahalli,209,144,31.0,Multi-level,60,2.7,5.3,6.2,False,297,False,True,Active,2026-07-31T19:24:42.970063+00:00
6ed43937-b875-42f5-bf49-882a83c7848f,bengaluru,Koramangala Smart Parking,12.837292,77.757396,Koramangala,461,287,37.54,Underground,20,8.1,7.6,9.7,True,391,False,True,Active,2026-07-31T19:24:42.970074+00:00
ddd5788f-4641-49bc-ac64-b46ef1f34f0e,bengaluru,Malleshwaram Transit Parking,12.959447,77.770502,Malleshwaram,452,337,25.36,Multi-level,30,4.6,5.2,3.5,True,464,False,False,Active,2026-07-31T19:24:42.970089+00:00
0bf3ea0a-d21a-4a7a-9461-e6d03d17589f,bengaluru,Rajajinagar Smart Parking,13.056142,77.635145,Rajajinagar,412,236,42.64,Open Lot,40,2.3,4.7,3.1,False,458,True,True,Active,2026-07-31T19:24:42.970100+00:00
229592f1-8276-4fc9-88a9-e746b17914be,bengaluru,Rajajinagar Transit Parking,12.868101,77.735931,Rajajinagar,229,203,11.24,Underground,40,1.7,4.3,3.4,False,651,True,True,Active,2026-07-31T19:24:42.970111+00:00
e829dd33-c3d9-4780-b044-5cc8ce47d9e1,bengaluru,Banashankari Transit Parking,12.804765,77.7741,Banashankari,484,63,86.85,Underground,30,4.1,6.1,3.1,True,252,True,False,Active,2026-07-31T19:24:42.970122+00:00
2a162410-108d-4619-82f4-57e2ad9238e4,bengaluru,Whitefield Parking Zone,12.848396,77.57418,Whitefield,136,63,53.29,Open Lot,60,7.3,9.0,6.8,True,341,True,False,Active,2026-07-31T19:24:42.970134+00:00
423943bb-7c4e-4bc4-9249-25903467233c,bengaluru,Malleshwaram Parking Zone,12.836149,77.508582,Malleshwaram,335,277,17.03,Multi-level,40,5.7,4.9,9.2,True,606,True,True,Active,2026-07-31T19:24:42.970147+00:00
aa7f3150-9b5b-4721-9288-cfaa21c78f36,bengaluru,Yelahanka Smart Parking,12.933531,77.513528,Yelahanka,236,55,76.33,Mall Parking,30,6.3,7.4,6.5,True,585,False,True,Active,2026-07-31T19:24:42.970159+00:00
56289877-98da-406b-9b4c-b2a8e346f7d2,bengaluru,Koramangala Transit Parking,12.948642,77.662128,Koramangala,80,43,46.13,Street,40,6.9,9.0,6.1,True,165,False,False,Active,2026-07-31T19:24:42.970173+00:00
cfb64307-3e28-4ba8-804b-1019c9d8c6c8,bengaluru,Indiranagar Parking Zone,12.953882,77.614299,Indiranagar,161,139,13.58,Open Lot,40,6.7,5.7,7.7,True,497,True,False,Active,2026-07-31T19:24:42.970184+00:00
b61f8bae-9dc6-4fd9-a0ca-bfb693bbfd45,bengaluru,Bellandur Parking Zone,12.906672,77.744681,Bellandur,210,82,60.54,Mall Parking,20,6.7,7.5,8.7,True,498,True,True,Active,2026-07-31T19:24:42.970196+00:00
ce65b7d7-212b-4e0f-a3e7-9b9b1e33b4dc,bengaluru,Yelahanka Transit Parking,13.097799,77.671051,Yelahanka,219,159,27.37,Mall Parking,40,7.7,7.8,8.2,True,251,False,True,Active,2026-07-31T19:24:42.970210+00:00
85211e9d-e000-436c-817a-1fdc0a388d6c,bengaluru,HSR Layout Public Parking,12.97612,77.700175,HSR Layout,137,79,41.78,Street,50,6.3,8.9,5.9,True,91,False,False,Active,2026-07-31T19:24:42.970222+00:00
63b0cb7b-9eeb-47f8-80a9-bcf9805bb6f1,bengaluru,HSR Layout Transit Parking,12.8656,77.717142,HSR Layout,286,148,48.18,Open Lot,60,3.8,3.6,3.4,True,511,True,False,Active,2026-07-31T19:24:42.970234+00:00
233a3933-8948-49aa-a379-e99db8dd7ca4,bengaluru,Indiranagar Transit Parking,13.079851,77.722242,Indiranagar,57,27,50.98,Street,30,6.7,6.8,7.1,True,779,True,True,Active,2026-07-31T19:24:42.970244+00:00
4a01f413-6bc9-4875-8671-6548443c2040,bengaluru,MG Road Parking Zone,12.913656,77.559381,MG Road,179,32,81.89,Multi-level,40,4.3,5.4,7.6,False,298,False,True,Active,2026-07-31T19:24:42.970255+00:00
3266dc45-c338-46e4-869d-939a60e211c3,bengaluru,Whitefield Public Parking,13.043756,77.721676,Whitefield,283,243,14.12,Street,40,3.2,6.5,3.2,False,603,False,False,Active,2026-07-31T19:24:42.970266+00:00
8a10f44b-b0a8-484b-80b3-7c1febf9478c,bengaluru,MG Road Transit Parking,13.089382,77.728738,MG Road,422,145,65.51,Multi-level,20,3.3,6.7,3.2,False,768,True,True,Active,2026-07-31T19:24:42.970277+00:00
7e207adc-37a7-42c1-8ffb-a36e24dc6e13,bengaluru,MG Road Public Parking,13.080412,77.663061,MG Road,108,74,31.19,Street,20,3.6,5.3,3.2,True,321,False,False,Active,2026-07-31T19:24:42.970288+00:00
b5fbdda3-5d1e-4727-91c4-1f31391dc319,bengaluru,Koramangala Smart Parking,12.955802,77.502392,Koramangala,293,113,61.11,Mall Parking,60,3.6,3.4,8.3,False,516,True,False,Active,2026-07-31T19:24:42.970300+00:00
2b5c381c-39ab-47ce-a7d2-d83811d56717,bengaluru,Koramangala Smart Parking,12.875617,77.653658,Koramangala,95,58,38.66,Mall Parking,50,6.0,8.0,4.0,True,321,True,True,Active,2026-07-31T19:24:42.970312+00:00
aac46d2c-d148-48ba-b5ce-93d30aaab9eb,bengaluru,Koramangala Parking Zone,12.90935,77.762848,Koramangala,380,326,14.05,Open Lot,40,6.7,8.3,7.2,True,676,False,False,Active,2026-07-31T19:24:42.970326+00:00
87326ef8-7901-4491-8fdb-55dc264f128c,bengaluru,Rajajinagar Public Parking,12.840412,77.620598,Rajajinagar,275,36,86.81,Underground,50,7.4,8.6,7.6,True,687,False,False,Active,2026-07-31T19:24:42.970336+00:00
97f05dc1-61c4-450e-8b89-c791bfa3e231,bengaluru,Banashankari Transit Parking,13.069398,77.613176,Banashankari,287,250,12.75,Street,60,4.6,7.6,7.4,False,402,True,True,Active,2026-07-31T19:24:42.970348+00:00
d4e33bb7-718e-410d-ae75-4fe85eb416a7,bengaluru,Hebbal Public Parking,13.096261,77.675801,Hebbal,432,184,57.34,Underground,60,2.8,3.8,6.1,False,380,True,True,Active,2026-07-31T19:24:42.970361+00:00
7ffdb7ab-4549-4d3b-af80-23f256094964,bengaluru,Koramangala Parking Zone,12.948398,77.501772,Koramangala,498,34,93.05,Open Lot,20,7.8,9.6,7.8,True,224,True,False,Active,2026-07-31T19:24:42.970372+00:00
197f6071-9738-4026-96d2-ac054548ae39,bengaluru,Rajajinagar Transit Parking,13.052709,77.540952,Rajajinagar,438,222,49.23,Mall Parking,20,5.4,9.2,5.9,False,724,True,False,Active,2026-07-31T19:24:42.970384+00:00
efbd31b3-19cd-487c-8134-f8e580b720d6,bengaluru,Banashankari Smart Parking,12.886371,77.539699,Banashankari,175,138,20.92,Multi-level,30,5.9,4.9,7.3,True,243,False,True,Active,2026-07-31T19:24:42.970395+00:00
d322e8f3-45b4-4e69-9893-4f5e594f8c48,bengaluru,MG Road Transit Parking,13.070577,77.657005,MG Road,435,145,66.52,Mall Parking,30,4.1,3.4,5.2,True,334,True,False,Active,2026-07-31T19:24:42.970406+00:00
0392d975-01fe-472e-bcd5-0fd76e26a497,bengaluru,Marathahalli Parking Zone,12.942764,77.643622,Marathahalli,462,171,62.89,Street,30,5.1,6.9,8.9,False,781,False,False,Active,2026-07-31T19:24:42.970418+00:00
4cbbe363-4fb6-4406-a61a-c66c13e5f3d2,bengaluru,Hebbal Public Parking,13.070002,77.725775,Hebbal,496,184,62.79,Mall Parking,40,3.9,9.6,4.0,False,408,False,True,Active,2026-07-31T19:24:42.970429+00:00
7c8b8f72-19d7-4e9a-812c-c966e6bd42e2,bengaluru,Whitefield Smart Parking,13.03052,77.688449,Whitefield,336,256,23.51,Street,50,4.7,4.3,6.2,True,780,True,False,Active,2026-07-31T19:24:42.970449+00:00
322f5f18-f9d5-4938-881d-5446968c2e0c,bengaluru,Whitefield Transit Parking,12.944186,77.637936,Whitefield,354,58,83.41,Open Lot,60,4.9,3.9,7.2,True,370,True,True,Active,2026-07-31T19:24:42.970460+00:00
a20f882a-204b-40e2-9aef-275355ee7bd2,bengaluru,Hebbal Parking Zone,13.0774,77.507068,Hebbal,383,86,77.51,Mall Parking,50,5.9,6.0,5.1,True,511,True,True,Active,2026-07-31T19:24:42.970472+00:00
