area,latitude,longitude,zone_type,date,day_of_week,hour,is_weekend,is_night,crowd_score,crowd_level,estimated_people,capacity,utilisation_pct,has_metro,bus_stops_nearby,isolation_risk,overcrowd_risk,data_source
Koramangala,12.935499,77.626638,residential,2024-01-01,Monday,0,0,1,0.121,Low,597,5000,12.1,0,8,0.439,0.097,synthetic
Koramangala,12.931839,77.627022,residential,2024-01-01,Monday,1,0,1,0.102,Low,546,5000,10.2,0,8,0.449,0.082,synthetic
Koramangala,12.938458,77.622413,residential,2024-01-01,Monday,2,0,1,0.066,Low,335,5000,6.6,0,8,0.467,0.053,synthetic
Koramangala,12.938232,77.62489,residential,2024-01-01,Monday,3,0,1,0.087,Low,402,5000,8.7,0,8,0.456,0.07,synthetic
Koramangala,12.934915,77.627297,residential,2024-01-01,Monday,4,0,1,0.081,Low,407,5000,8.1,0,8,0.459,0.065,synthetic
Koramangala,12.93508,77.625172,residential,2024-01-01,Monday,5,0,1,0.146,Low,665,5000,14.6,0,8,0.427,0.117,synthetic
Koramangala,12.931265,77.626064,residential,2024-01-01,Monday,6,0,0,0.197,Low,1009,5000,19.7,0,8,0.161,0.158,synthetic
Koramangala,12.932585,77.628046,residential,2024-01-01,Monday,7,0,0,0.218,Low,1244,5000,21.8,0,8,0.156,0.175,synthetic
Koramangala,12.936407,77.628345,residential,2024-01-01,Monday,8,0,0,0.463,Moderate,2605,5000,46.3,0,8,0.107,0.37,synthetic
Koramangala,12.935377,77.622412,residential,2024-01-01,Monday,9,0,0,0.387,Moderate,1925,5000,38.7,0,8,0.123,0.309,synthetic
Koramangala,12.933012,77.624945,residential,2024-01-01,Monday,10,0,0,0.372,Moderate,1637,5000,37.2,0,8,0.126,0.298,synthetic
Koramangala,12.937705,77.622333,residential,2024-01-01,Monday,11,0,0,0.294,Moderate,1606,5000,29.4,0,8,0.141,0.235,synthetic
Koramangala,12.937798,77.626924,residential,2024-01-01,Monday,12,0,0,0.356,Moderate,1856,5000,35.6,0,8,0.129,0.285,synthetic
Koramangala,12.932218,77.628156,residential,2024-01-01,Monday,13,0,0,0.364,Moderate,1617,5000,36.4,0,8,0.127,0.291,synthetic
Koramangala,12.936793,77.620625,residential,2024-01-01,Monday,14,0,0,0.306,Moderate,1476,5000,30.6,0,8,0.139,0.245,synthetic
Koramangala,12.931494,77.622391,residential,2024-01-01,Monday,15,0,0,0.37,Moderate,1697,5000,37.0,0,8,0.126,0.296,synthetic
Koramangala,12.935732,77.62793,residential,2024-01-01,Monday,16,0,0,0.355,Moderate,1743,5000,35.5,0,8,0.129,0.284,synthetic
Koramangala,12.932049,77.622752,residential,2024-01-01,Monday,17,0,0,0.506,Moderate,2450,5000,50.6,0,8,0.099,0.405,synthetic
Koramangala,12.932596,77.624662,residential,2024-01-01,Monday,18,0,0,0.569,High,2546,5000,56.9,0,8,0.086,0.455,synthetic
Koramangala,12.934883,77.626768,residential,2024-01-01,Monday,19,0,0,0.53,Moderate,2783,5000,53.0,0,8,0.094,0.424,synthetic
Koramangala,12.935822,77.62299,residential,2024-01-01,Monday,20,0,1,0.393,Moderate,2106,5000,39.3,0,8,0.304,0.314,synthetic
Koramangala,12.931539,77.62673,residential,2024-01-01,Monday,21,0,1,0.321,Moderate,1486,5000,32.1,0,8,0.34,0.257,synthetic
Koramangala,12.938367,77.620825,residential,2024-01-01,Monday,22,0,1,0.223,Low,1012,5000,22.3,0,8,0.388,0.178,synthetic
Koramangala,12.932927,77.623834,residential,2024-01-01,Monday,23,0,1,0.151,Low,848,5000,15.1,0,8,0.425,0.121,synthetic
Silk Board,12.919672,77.608741,transit,2024-01-01,Monday,0,0,1,0.105,Low,797,7000,10.5,0,15,0.447,0.084,synthetic
Silk Board,12.916205,77.608853,transit,2024-01-01,Monday,1,0,1,0.084,Low,511,7000,8.4,0,15,0.458,0.067,synthetic
Silk Board,12.917497,77.608443,transit,2024-01-01,Monday,2,0,1,0.129,Low,992,7000,12.9,0,15,0.436,0.103,synthetic
Silk Board,12.917864,77.609976,transit,2024-01-01,Monday,3,0,1,0.134,Low,979,7000,13.4,0,15,0.433,0.107,synthetic
Silk Board,12.914945,77.61065,transit,2024-01-01,Monday,4,0,1,0.136,Low,1014,7000,13.6,0,15,0.432,0.109,synthetic
Silk Board,12.915962,77.608887,transit,2024-01-01,Monday,5,0,1,0.201,Low,1606,7000,20.1,0,15,0.4,0.161,synthetic
Silk Board,12.914942,77.607532,transit,2024-01-01,Monday,6,0,0,0.244,Low,1569,7000,24.4,0,15,0.151,0.195,synthetic
Silk Board,12.917492,77.609368,transit,2024-01-01,Monday,7,0,0,0.338,Moderate,2038,7000,33.8,0,15,0.132,0.27,synthetic
Silk Board,12.919373,77.613713,transit,2024-01-01,Monday,8,0,0,0.63,High,3935,7000,63.0,0,15,0.074,0.504,synthetic
Silk Board,12.912704,77.606652,transit,2024-01-01,Monday,9,0,0,0.594,High,3831,7000,59.4,0,15,0.081,0.475,synthetic
Silk Board,12.916213,77.60847,transit,2024-01-01,Monday,10,0,0,0.487,Moderate,3141,7000,48.7,0,15,0.103,0.39,synthetic
Silk Board,12.918523,77.60729,transit,2024-01-01,Monday,11,0,0,0.485,Moderate,3191,7000,48.5,0,15,0.103,0.388,synthetic
Silk Board,12.914631,77.607429,transit,2024-01-01,Monday,12,0,0,0.573,High,4061,7000,57.3,0,15,0.085,0.458,synthetic
Silk Board,12.915906,77.61398,transit,2024-01-01,Monday,13,0,0,0.529,Moderate,3750,7000,52.9,0,15,0.094,0.424,synthetic
Silk Board,12.914522,77.608032,transit,2024-01-01,Monday,14,0,0,0.462,Moderate,3042,7000,46.2,0,15,0.108,0.37,synthetic
Silk Board,12.919549,77.608236,transit,2024-01-01,Monday,15,0,0,0.483,Moderate,3036,7000,48.3,0,15,0.103,0.387,synthetic
Silk Board,12.913876,77.614017,transit,2024-01-01,Monday,16,0,0,0.527,Moderate,3550,7000,52.7,0,15,0.095,0.422,synthetic
Silk Board,12.913839,77.610902,transit,2024-01-01,Monday,17,0,0,0.721,High,5652,7000,72.1,0,15,0.056,0.577,synthetic
Silk Board,12.913646,77.613821,transit,2024-01-01,Monday,18,0,0,0.771,High,5107,7000,77.1,0,15,0.046,0.617,synthetic
Silk Board,12.919445,77.608404,transit,2024-01-01,Monday,19,0,0,0.684,High,5052,7000,68.4,0,15,0.063,0.547,synthetic
Silk Board,12.914716,77.607537,transit,2024-01-01,Monday,20,0,1,0.549,Moderate,3410,7000,54.9,0,15,0.225,0.439,synthetic
Silk Board,12.919378,77.610893,transit,2024-01-01,Monday,21,0,1,0.42,Moderate,2548,7000,42.0,0,15,0.29,0.336,synthetic
Silk Board,12.916061,77.610901,transit,2024-01-01,Monday,22,0,1,0.322,Moderate,1953,7000,32.2,0,15,0.339,0.257,synthetic
Silk Board,12.913322,77.608115,transit,2024-01-01,Monday,23,0,1,0.238,Low,1672,7000,23.8,0,15,0.381,0.191,synthetic
Indiranagar,12.972213,77.643737,commercial,2024-01-01,Monday,0,0,1,0.102,Low,537,6000,10.2,1,10,0.449,0.081,synthetic
Indiranagar,12.975331,77.644903,commercial,2024-01-01,Monday,1,0,1,0.077,Low,493,6000,7.7,1,10,0.461,0.062,synthetic
Indiranagar,12.97268,77.641748,commercial,2024-01-01,Monday,2,0,1,0.038,Low,257,6000,3.8,1,10,0.481,0.031,synthetic
Indiranagar,12.969818,77.639572,commercial,2024-01-01,Monday,3,0,1,0.06,Low,346,6000,6.0,1,10,0.47,0.048,synthetic
Indiranagar,12.971619,77.642701,commercial,2024-01-01,Monday,4,0,1,0.104,Low,561,6000,10.4,1,10,0.448,0.083,synthetic
Indiranagar,12.970634,77.641219,commercial,2024-01-01,Monday,5,0,1,0.103,Low,684,6000,10.3,1,10,0.449,0.082,synthetic
Indiranagar,12.970041,77.639455,commercial,2024-01-01,Monday,6,0,0,0.076,Low,400,6000,7.6,1,10,0.185,0.061,synthetic
Indiranagar,12.971864,77.640992,commercial,2024-01-01,Monday,7,0,0,0.245,Low,1576,6000,24.5,1,10,0.151,0.196,synthetic
Indiranagar,12.972045,77.644996,commercial,2024-01-01,Monday,8,0,0,0.337,Moderate,1940,6000,33.7,1,10,0.133,0.269,synthetic
Indiranagar,12.972874,77.643571,commercial,2024-01-01,Monday,9,0,0,0.54,Moderate,2911,6000,54.0,1,10,0.092,0.432,synthetic
Indiranagar,12.974767,77.63794,commercial,2024-01-01,Monday,10,0,0,0.667,High,4194,6000,66.7,1,10,0.067,0.534,synthetic
Indiranagar,12.970093,77.643725,commercial,2024-01-01,Monday,11,0,0,0.577,High,3471,6000,57.7,1,10,0.085,0.461,synthetic
Indiranagar,12.975126,77.639241,commercial,2024-01-01,Monday,12,0,0,0.572,High,3692,6000,57.2,1,10,0.086,0.458,synthetic
Indiranagar,12.973429,77.64338,commercial,2024-01-01,Monday,13,0,0,0.554,High,3377,6000,55.4,1,10,0.089,0.443,synthetic
Indiranagar,12.970407,77.637561,commercial,2024-01-01,Monday,14,0,0,0.556,High,3067,6000,55.6,1,10,0.089,0.445,synthetic
Indiranagar,12.970961,77.638271,commercial,2024-01-01,Monday,15,0,0,0.572,High,3043,6000,57.2,1,10,0.086,0.458,synthetic
Indiranagar,12.968748,77.640489,commercial,2024-01-01,Monday,16,0,0,0.641,High,4016,6000,64.1,1,10,0.072,0.513,synthetic
Indiranagar,12.971915,77.64087,commercial,2024-01-01,Monday,17,0,0,0.742,High,3938,6000,74.2,1,10,0.052,0.594,synthetic
Indiranagar,12.971012,77.642208,commercial,2024-01-01,Monday,18,0,0,0.838,Extreme,5321,6000,83.8,1,10,0.032,0.67,synthetic
Indiranagar,12.971131,77.64315,commercial,2024-01-01,Monday,19,0,0,0.745,High,4583,6000,74.5,1,10,0.051,0.596,synthetic
Indiranagar,12.969326,77.639192,commercial,2024-01-01,Monday,20,0,1,0.53,Moderate,3342,6000,53.0,1,10,0.235,0.424,synthetic
Indiranagar,12.973417,77.642865,commercial,2024-01-01,Monday,21,0,1,0.439,Moderate,2664,6000,43.9,1,10,0.281,0.351,synthetic
Indiranagar,12.974572,77.63809,commercial,2024-01-01,Monday,22,0,1,0.226,Low,1369,6000,22.6,1,10,0.387,0.181,synthetic
Indiranagar,12.971233,77.639067,commercial,2024-01-01,Monday,23,0,1,0.115,Low,595,6000,11.5,1,10,0.443,0.092,synthetic
Whitefield,12.966757,77.746548,tech_park,2024-01-01,Monday,0,0,1,0.07,Low,666,9000,7.0,0,12,0.465,0.056,synthetic
Whitefield,12.967649,77.747033,tech_park,2024-01-01,Monday,1,0,1,0.109,Low,1036,9000,10.9,0,12,0.445,0.087,synthetic
Whitefield,12.973531,77.751959,tech_park,2024-01-01,Monday,2,0,1,0.093,Low,754,9000,9.3,0,12,0.453,0.075,synthetic
Whitefield,12.967056,77.747599,tech_park,2024-01-01,Monday,3,0,1,0.102,Low,960,9000,10.2,0,12,0.449,0.081,synthetic
Whitefield,12.969682,77.752711,tech_park,2024-01-01,Monday,4,0,1,0.093,Low,778,9000,9.3,0,12,0.454,0.074,synthetic
Whitefield,12.971475,77.752116,tech_park,2024-01-01,Monday,5,0,1,0.168,Low,1650,9000,16.8,0,12,0.416,0.134,synthetic
Whitefield,12.969053,77.752791,tech_park,2024-01-01,Monday,6,0,0,0.208,Low,1739,9000,20.8,0,12,0.158,0.166,synthetic
Whitefield,12.969315,77.751105,tech_park,2024-01-01,Monday,7,0,0,0.278,Moderate,2281,9000,27.8,0,12,0.144,0.222,synthetic
Whitefield,12.969621,77.753135,tech_park,2024-01-01,Monday,8,0,0,0.729,High,5642,9000,72.9,0,12,0.054,0.583,synthetic
Whitefield,12.970718,77.747332,tech_park,2024-01-01,Monday,9,0,0,0.887,Extreme,8578,9000,88.7,0,12,0.023,0.71,synthetic
Whitefield,12.9671,77.753356,tech_park,2024-01-01,Monday,10,0,0,0.854,Extreme,8112,9000,85.4,0,12,0.029,0.683,synthetic
Whitefield,12.967861,77.749584,tech_park,2024-01-01,Monday,11,0,0,0.812,Extreme,6919,9000,81.2,0,12,0.038,0.649,synthetic
Whitefield,12.970033,77.751493,tech_park,2024-01-01,Monday,12,0,0,0.645,High,5677,9000,64.5,0,12,0.071,0.516,synthetic
Whitefield,12.967039,77.753026,tech_park,2024-01-01,Monday,13,0,0,0.522,Moderate,4684,9000,52.2,0,12,0.096,0.417,synthetic
Whitefield,12.970785,77.750771,tech_park,2024-01-01,Monday,14,0,0,0.809,Extreme,8101,9000,80.9,0,12,0.038,0.647,synthetic
Whitefield,12.967788,77.752956,tech_park,2024-01-01,Monday,15,0,0,0.823,Extreme,6885,9000,82.3,0,12,0.035,0.659,synthetic
Whitefield,12.967633,77.746284,tech_park,2024-01-01,Monday,16,0,0,0.79,High,7298,9000,79.0,0,12,0.042,0.632,synthetic
Whitefield,12.970662,77.751209,tech_park,2024-01-01,Monday,17,0,0,0.823,Extreme,7009,9000,82.3,0,12,0.035,0.658,synthetic
Whitefield,12.971706,77.747197,tech_park,2024-01-01,Monday,18,0,0,0.876,Extreme,7144,9000,87.6,0,12,0.025,0.701,synthetic
Whitefield,12.969985,77.750185,tech_park,2024-01-01,Monday,19,0,0,0.577,High,4877,9000,57.7,0,12,0.085,0.462,synthetic
Whitefield,12.973195,77.75084,tech_park,2024-01-01,Monday,20,0,1,0.335,Moderate,2883,9000,33.5,0,12,0.333,0.268,synthetic
Whitefield,12.967506,77.750956,tech_park,2024-01-01,Monday,21,0,1,0.208,Low,2134,9000,20.8,0,12,0.396,0.166,synthetic
Whitefield,12.968987,77.748975,tech_park,2024-01-01,Monday,22,0,1,0.129,Low,1145,9000,12.9,0,12,0.436,0.103,synthetic
Whitefield,12.967114,77.747534,tech_park,2024-01-01,Monday,23,0,1,0.116,Low,977,9000,11.6,0,12,0.442,0.093,synthetic
Electronic City,12.845568,77.660984,tech_park,2024-01-01,Monday,0,0,1,0.093,Low,906,10000,9.3,0,8,0.453,0.075,synthetic
Electronic City,12.841351,77.659331,tech_park,2024-01-01,Monday,1,0,1,0.046,Low,474,10000,4.6,0,8,0.477,0.037,synthetic
Electronic City,12.843341,77.65848,tech_park,2024-01-01,Monday,2,0,1,0.077,Low,799,10000,7.7,0,8,0.462,0.062,synthetic
Electronic City,12.844191,77.663822,tech_park,2024-01-01,Monday,3,0,1,0.05,Low,480,10000,5.0,0,8,0.475,0.04,synthetic
Electronic City,12.844783,77.663844,tech_park,2024-01-01,Monday,4,0,1,0.025,Low,264,10000,2.5,0,8,0.487,0.02,synthetic
Electronic City,12.841983,77.660308,tech_park,2024-01-01,Monday,5,0,1,0.144,Low,1475,10000,14.4,0,8,0.428,0.115,synthetic
Electronic City,12.847994,77.66255,tech_park,2024-01-01,Monday,6,0,0,0.215,Low,2084,10000,21.5,0,8,0.157,0.172,synthetic
Electronic City,12.847099,77.661219,tech_park,2024-01-01,Monday,7,0,0,0.246,Low,2811,10000,24.6,0,8,0.151,0.197,synthetic
Electronic City,12.841775,77.659653,tech_park,2024-01-01,Monday,8,0,0,0.682,High,6162,10000,68.2,0,8,0.064,0.545,synthetic
Electronic City,12.847947,77.659204,tech_park,2024-01-01,Monday,9,0,0,0.863,Extreme,9668,10000,86.3,0,8,0.027,0.691,synthetic
Electronic City,12.847081,77.663251,tech_park,2024-01-01,Monday,10,0,0,0.817,Extreme,8562,10000,81.7,0,8,0.037,0.653,synthetic
Electronic City,12.849105,77.662606,tech_park,2024-01-01,Monday,11,0,0,0.75,High,8180,10000,75.0,0,8,0.05,0.6,synthetic
Electronic City,12.847897,77.661915,tech_park,2024-01-01,Monday,12,0,0,0.513,Moderate,4549,10000,51.3,0,8,0.097,0.41,synthetic
Electronic City,12.845499,77.65854,tech_park,2024-01-01,Monday,13,0,0,0.539,Moderate,4917,10000,53.9,0,8,0.092,0.431,synthetic
Electronic City,12.841862,77.662457,tech_park,2024-01-01,Monday,14,0,0,0.749,High,6803,10000,74.9,0,8,0.05,0.599,synthetic
Electronic City,12.841698,77.663191,tech_park,2024-01-01,Monday,15,0,0,0.786,High,7122,10000,78.6,0,8,0.043,0.629,synthetic
Electronic City,12.841503,77.658138,tech_park,2024-01-01,Monday,16,0,0,0.709,High,7220,10000,70.9,0,8,0.058,0.568,synthetic
Electronic City,12.843562,77.656904,tech_park,2024-01-01,Monday,17,0,0,0.742,High,7849,10000,74.2,0,8,0.052,0.594,synthetic
Electronic City,12.848027,77.65819,tech_park,2024-01-01,Monday,18,0,0,0.782,High,6790,10000,78.2,0,8,0.044,0.626,synthetic
Electronic City,12.844227,77.657133,tech_park,2024-01-01,Monday,19,0,0,0.534,Moderate,5942,10000,53.4,0,8,0.093,0.427,synthetic
Electronic City,12.844902,77.659496,tech_park,2024-01-01,Monday,20,0,1,0.331,Moderate,3314,10000,33.1,0,8,0.334,0.265,synthetic
Electronic City,12.847069,77.659394,tech_park,2024-01-01,Monday,21,0,1,0.172,Low,1931,10000,17.2,0,8,0.414,0.138,synthetic
Electronic City,12.842464,77.662602,tech_park,2024-01-01,Monday,22,0,1,0.106,Low,1205,10000,10.6,0,8,0.447,0.085,synthetic
Electronic City,12.842407,77.661596,tech_park,2024-01-01,Monday,23,0,1,0.1,Low,929,10000,10.0,0,8,0.45,0.08,synthetic
Hebbal,13.036109,77.598966,commercial,2024-01-01,Monday,0,0,1,0.026,Low,101,4000,2.6,0,6,0.487,0.021,synthetic
Hebbal,13.038577,77.599623,commercial,2024-01-01,Monday,1,0,1,0.056,Low,209,4000,5.6,0,6,0.472,0.045,synthetic
Hebbal,13.033042,77.595912,commercial,2024-01-01,Monday,2,0,1,0.061,Low,221,4000,6.1,0,6,0.469,0.049,synthetic
Hebbal,13.036408,77.595148,commercial,2024-01-01,Monday,3,0,1,0.042,Low,146,4000,4.2,0,6,0.479,0.034,synthetic
Hebbal,13.033149,77.595685,commercial,2024-01-01,Monday,4,0,1,0.071,Low,266,4000,7.1,0,6,0.465,0.057,synthetic
Hebbal,13.035901,77.595226,commercial,2024-01-01,Monday,5,0,1,0.091,Low,343,4000,9.1,0,6,0.455,0.073,synthetic
Hebbal,13.032029,77.596205,commercial,2024-01-01,Monday,6,0,0,0.078,Low,266,4000,7.8,0,6,0.184,0.062,synthetic
Hebbal,13.032534,77.597601,commercial,2024-01-01,Monday,7,0,0,0.094,Low,377,4000,9.4,0,6,0.181,0.075,synthetic
Hebbal,13.034246,77.598691,commercial,2024-01-01,Monday,8,0,0,0.227,Low,873,4000,22.7,0,6,0.155,0.182,synthetic
Hebbal,13.034608,77.594273,commercial,2024-01-01,Monday,9,0,0,0.372,Moderate,1538,4000,37.2,0,6,0.126,0.298,synthetic
Hebbal,13.034786,77.598243,commercial,2024-01-01,Monday,10,0,0,0.417,Moderate,1553,4000,41.7,0,6,0.117,0.333,synthetic
Hebbal,13.033643,77.597743,commercial,2024-01-01,Monday,11,0,0,0.469,Moderate,2061,4000,46.9,0,6,0.106,0.375,synthetic
Hebbal,13.034469,77.593083,commercial,2024-01-01,Monday,12,0,0,0.457,Moderate,1963,4000,45.7,0,6,0.109,0.366,synthetic
Hebbal,13.036717,77.593978,commercial,2024-01-01,Monday,13,0,0,0.462,Moderate,1858,4000,46.2,0,6,0.108,0.369,synthetic
Hebbal,13.038176,77.596189,commercial,2024-01-01,Monday,14,0,0,0.456,Moderate,1849,4000,45.6,0,6,0.109,0.365,synthetic
Hebbal,13.039205,77.594308,commercial,2024-01-01,Monday,15,0,0,0.426,Moderate,1759,4000,42.6,0,6,0.115,0.341,synthetic
Hebbal,13.035102,77.597929,commercial,2024-01-01,Monday,16,0,0,0.471,Moderate,2146,4000,47.1,0,6,0.106,0.376,synthetic
Hebbal,13.036931,77.595942,commercial,2024-01-01,Monday,17,0,0,0.563,High,2451,4000,56.3,0,6,0.087,0.45,synthetic
Hebbal,13.035724,77.598815,commercial,2024-01-01,Monday,18,0,0,0.572,High,2418,4000,57.2,0,6,0.086,0.457,synthetic
Hebbal,13.037023,77.600995,commercial,2024-01-01,Monday,19,0,0,0.504,Moderate,1768,4000,50.4,0,6,0.099,0.403,synthetic
Hebbal,13.033489,77.593783,commercial,2024-01-01,Monday,20,0,1,0.375,Moderate,1466,4000,37.5,0,6,0.312,0.3,synthetic
Hebbal,13.037103,77.593189,commercial,2024-01-01,Monday,21,0,1,0.229,Low,992,4000,22.9,0,6,0.386,0.183,synthetic
Hebbal,13.034107,77.600912,commercial,2024-01-01,Monday,22,0,1,0.178,Low,662,4000,17.8,0,6,0.411,0.142,synthetic
Hebbal,13.038182,77.597634,commercial,2024-01-01,Monday,23,0,1,0.126,Low,449,4000,12.6,0,6,0.437,0.101,synthetic
Yelahanka,13.102581,77.595588,residential,2024-01-01,Monday,0,0,1,0.027,Low,84,3000,2.7,0,5,0.486,0.022,synthetic
