area,latitude,longitude,date,hour,month,weather_condition,rainfall_mm_hr,visibility_km,visibility_score,wind_speed_kmh,humidity_pct,temperature_c,flood_risk,waterlogging_risk,road_slipperiness,weather_severity,is_night,data_source
Koramangala,12.939375,77.628285,2024-01-01,19,1,Clear,0.0,11.3,0.942,8.9,44.7,20.6,0.052,0.069,0.05,0.045,0,synthetic
Koramangala,12.933545,77.623724,2024-01-01,20,1,Cloudy,0.0,9.1,0.758,16.6,59.9,20.4,0.0,0.0,0.081,0.06,1,synthetic
Koramangala,12.936597,77.620157,2024-01-01,21,1,Strong Wind,1.29,7.4,0.617,64.1,62.9,21.3,0.039,0.058,0.118,0.52,1,synthetic
Koramangala,12.932005,77.624046,2024-01-01,22,1,Cloudy,0.0,8.6,0.717,8.1,59.3,19.4,0.054,0.033,0.107,0.062,1,synthetic
Koramangala,12.933133,77.625163,2024-01-01,23,1,Clear,0.0,12.1,1.0,10.8,47.6,19.5,0.02,0.037,0.063,0.077,1,synthetic
Silk Board,12.915269,77.612804,2024-01-01,0,1,Fog,0.21,1.1,0.092,5.0,87.5,16.8,0.0,0.008,0.149,0.574,1,synthetic
Silk Board,12.921142,77.606487,2024-01-01,1,1,Clear,0.0,11.7,0.975,11.6,44.3,17.2,0.065,0.049,0.063,0.017,1,synthetic
Silk Board,12.919145,77.606457,2024-01-01,2,1,Fog,0.16,0.2,0.017,4.8,92.2,18.6,0.0,0.0,0.127,0.5,1,synthetic
Silk Board,12.919515,77.608923,2024-01-01,3,1,Fog,0.19,0.2,0.017,4.6,92.4,19.0,0.022,0.006,0.146,0.595,1,synthetic
Silk Board,12.91872,77.61134,2024-01-01,4,1,Cloudy,0.0,9.4,0.783,9.9,61.1,18.4,0.0,0.014,0.09,0.149,1,synthetic
Silk Board,12.916973,77.611007,2024-01-01,5,1,Cloudy,0.0,9.7,0.808,8.1,65.9,20.5,0.0,0.0,0.082,0.105,1,synthetic
Silk Board,12.917103,77.608202,2024-01-01,6,1,Clear,0.0,11.9,0.992,4.6,42.2,17.7,0.003,0.006,0.077,0.047,0,synthetic
Silk Board,12.915125,77.610838,2024-01-01,7,1,Cloudy,0.0,8.8,0.733,10.8,63.7,17.5,0.054,0.074,0.068,0.084,0,synthetic
Silk Board,12.913684,77.61241,2024-01-01,8,1,Clear,0.0,12.1,1.0,4.9,47.8,17.8,0.0,0.005,0.058,0.01,0,synthetic
Silk Board,12.912965,77.612423,2024-01-01,9,1,Clear,0.0,11.4,0.95,8.3,49.9,20.9,0.049,0.061,0.051,0.016,0,synthetic
Silk Board,12.913808,77.61113,2024-01-01,10,1,Cloudy,0.0,9.1,0.758,11.6,61.2,22.0,0.009,0.018,0.054,0.062,0,synthetic
Silk Board,12.918132,77.605255,2024-01-01,11,1,Clear,0.0,11.6,0.967,12.7,46.0,22.2,0.0,0.0,0.049,0.059,0,synthetic
Silk Board,12.920965,77.612571,2024-01-01,12,1,Cloudy,0.0,9.8,0.817,9.6,63.8,21.6,0.02,0.0,0.066,0.15,0,synthetic
Silk Board,12.914612,77.609077,2024-01-01,13,1,Cloudy,0.0,8.6,0.717,8.5,58.3,21.0,0.065,0.054,0.098,0.131,0,synthetic
Silk Board,12.915836,77.610455,2024-01-01,14,1,Clear,0.0,12.8,1.0,5.9,47.5,25.2,0.0,0.021,0.033,0.028,0,synthetic
Silk Board,12.917009,77.610604,2024-01-01,15,1,Cloudy,0.0,9.0,0.75,8.1,66.1,24.4,0.011,0.026,0.069,0.07,0,synthetic
Silk Board,12.912543,77.608942,2024-01-01,16,1,Clear,0.0,11.3,0.942,12.3,49.4,26.2,0.055,0.062,0.068,0.032,0,synthetic
Silk Board,12.920365,77.607739,2024-01-01,17,1,Clear,0.0,11.3,0.942,13.0,44.4,22.5,0.036,0.058,0.054,0.067,0,synthetic
Silk Board,12.912016,77.611815,2024-01-01,18,1,Clear,0.0,12.0,1.0,3.4,42.9,20.4,0.0,0.027,0.032,0.053,0,synthetic
Silk Board,12.915725,77.608934,2024-01-01,19,1,Moderate Rain,8.53,4.7,0.392,23.4,87.2,20.1,0.0,0.054,0.546,0.478,0,synthetic
Silk Board,12.913553,77.60958,2024-01-01,20,1,Clear,0.0,12.5,1.0,4.1,44.7,21.4,0.062,0.042,0.052,0.041,1,synthetic
Silk Board,12.91389,77.613932,2024-01-01,21,1,Clear,0.0,12.5,1.0,6.9,44.3,21.0,0.048,0.07,0.03,0.088,1,synthetic
Silk Board,12.918453,77.610602,2024-01-01,22,1,Clear,0.0,12.3,1.0,10.2,45.5,19.5,0.033,0.047,0.033,0.01,1,synthetic
Silk Board,12.915263,77.612221,2024-01-01,23,1,Clear,0.0,12.7,1.0,3.3,43.6,16.5,0.0,0.02,0.036,0.03,1,synthetic
BTM Layout,12.912287,77.606769,2024-01-01,0,1,Clear,0.0,11.2,0.933,7.1,40.6,17.5,0.0,0.028,0.021,0.06,1,synthetic
BTM Layout,12.916624,77.611058,2024-01-01,1,1,Fog,0.19,1.1,0.092,4.6,86.5,17.2,0.014,0.034,0.129,0.52,1,synthetic
BTM Layout,12.919827,77.606189,2024-01-01,2,1,Fog,0.23,0.2,0.017,6.4,93.0,18.3,0.029,0.049,0.124,0.511,1,synthetic
BTM Layout,12.917143,77.604869,2024-01-01,3,1,Cloudy,0.0,8.8,0.733,14.3,59.7,18.0,0.049,0.07,0.053,0.096,1,synthetic
BTM Layout,12.920241,77.606979,2024-01-01,4,1,Cloudy,0.0,9.6,0.8,15.9,64.7,17.8,0.031,0.03,0.052,0.061,1,synthetic
BTM Layout,12.913562,77.606229,2024-01-01,5,1,Clear,0.0,11.6,0.967,9.9,45.6,19.7,0.041,0.037,0.052,0.099,1,synthetic
BTM Layout,12.91914,77.609323,2024-01-01,6,1,Cloudy,0.0,9.7,0.808,15.2,60.0,18.4,0.037,0.026,0.108,0.076,0,synthetic
BTM Layout,12.920687,77.60414,2024-01-01,7,1,Cloudy,0.0,9.0,0.75,7.1,64.7,15.7,0.006,0.0,0.105,0.07,0,synthetic
BTM Layout,12.919965,77.609999,2024-01-01,8,1,Cloudy,0.0,9.6,0.8,13.8,66.6,15.7,0.0,0.003,0.063,0.066,0,synthetic
BTM Layout,12.916731,77.612406,2024-01-01,9,1,Clear,0.0,12.4,1.0,8.9,44.3,21.9,0.0,0.0,0.048,0.083,0,synthetic
BTM Layout,12.921389,77.605542,2024-01-01,10,1,Clear,0.0,12.8,1.0,11.1,48.8,22.1,0.0,0.026,0.061,0.06,0,synthetic
BTM Layout,12.916502,77.606947,2024-01-01,11,1,Strong Wind,1.3,8.7,0.725,62.5,55.1,20.8,0.061,0.073,0.111,0.485,0,synthetic
BTM Layout,12.914582,77.609967,2024-01-01,12,1,Fog,0.2,0.2,0.017,4.6,91.1,21.1,0.055,0.036,0.179,0.577,0,synthetic
BTM Layout,12.912996,77.610461,2024-01-01,13,1,Strong Wind,1.27,8.3,0.692,61.8,57.6,20.6,0.033,0.033,0.12,0.481,0,synthetic
BTM Layout,12.919693,77.612125,2024-01-01,14,1,Clear,0.0,11.6,0.967,4.1,48.0,24.3,0.0,0.0,0.076,0.061,0,synthetic
BTM Layout,12.920458,77.604125,2024-01-01,15,1,Cloudy,0.0,8.8,0.733,12.6,60.3,24.4,0.021,0.0,0.102,0.101,0,synthetic
BTM Layout,12.919622,77.605906,2024-01-01,16,1,Clear,0.0,12.2,1.0,9.5,49.1,26.0,0.039,0.035,0.049,0.055,0,synthetic
BTM Layout,12.915947,77.604931,2024-01-01,17,1,Cloudy,0.0,8.7,0.725,15.4,63.8,21.7,0.052,0.04,0.081,0.103,0,synthetic
BTM Layout,12.918914,77.612396,2024-01-01,18,1,Clear,0.0,12.8,1.0,3.6,46.6,21.2,0.0,0.006,0.032,0.064,0,synthetic
BTM Layout,12.914229,77.612267,2024-01-01,19,1,Cloudy,0.0,8.4,0.7,15.7,58.6,20.3,0.049,0.049,0.082,0.13,0,synthetic
BTM Layout,12.915717,77.605779,2024-01-01,20,1,Clear,0.0,11.8,0.983,10.4,44.1,21.7,0.057,0.078,0.072,0.085,1,synthetic
BTM Layout,12.917548,77.609476,2024-01-01,21,1,Cloudy,0.0,8.6,0.717,16.3,63.4,21.1,0.017,0.044,0.069,0.058,1,synthetic
BTM Layout,12.9148,77.60871,2024-01-01,22,1,Clear,0.0,11.3,0.942,12.3,45.6,16.6,0.068,0.029,0.067,0.045,1,synthetic
BTM Layout,12.91968,77.606218,2024-01-01,23,1,Clear,0.0,11.9,0.992,10.0,49.4,18.6,0.05,0.059,0.02,0.098,1,synthetic
Majestic,12.977008,77.570117,2024-01-01,0,1,Fog,0.19,0.2,0.017,2.2,85.8,17.9,0.027,0.026,0.152,0.536,1,synthetic
Majestic,12.974526,77.574613,2024-01-01,1,1,Clear,0.0,12.7,1.0,11.4,41.9,18.1,0.055,0.052,0.036,0.064,1,synthetic
Majestic,12.975116,77.572715,2024-01-01,2,1,Fog,0.22,1.0,0.083,1.6,87.4,17.5,0.0,0.02,0.158,0.5,1,synthetic
Majestic,12.972199,77.571327,2024-01-01,3,1,Cloudy,0.0,9.7,0.808,8.2,60.8,17.1,0.044,0.009,0.06,0.099,1,synthetic
Majestic,12.976454,77.569428,2024-01-01,4,1,Strong Wind,1.26,7.5,0.625,64.3,59.2,16.9,0.048,0.056,0.153,0.532,1,synthetic
Majestic,12.977419,77.571819,2024-01-01,5,1,Clear,0.0,11.8,0.983,5.7,48.8,21.4,0.023,0.025,0.072,0.07,1,synthetic
Majestic,12.978393,77.570937,2024-01-01,6,1,Strong Wind,1.04,8.1,0.675,67.1,65.0,17.1,0.036,0.014,0.146,0.487,0,synthetic
Majestic,12.973011,77.575742,2024-01-01,7,1,Cloudy,0.0,8.5,0.708,12.6,64.9,17.5,0.01,0.003,0.059,0.134,0,synthetic
Majestic,12.973965,77.573591,2024-01-01,8,1,Clear,0.0,12.0,1.0,3.0,46.2,15.5,0.0,0.012,0.02,0.087,0,synthetic
Majestic,12.979923,77.573092,2024-01-01,9,1,Clear,0.0,12.1,1.0,5.9,48.7,20.5,0.0,0.022,0.068,0.067,0,synthetic
Majestic,12.973423,77.576142,2024-01-01,10,1,Cloudy,0.0,9.3,0.775,13.9,63.8,20.2,0.006,0.016,0.093,0.109,0,synthetic
Majestic,12.973781,77.575779,2024-01-01,11,1,Clear,0.0,12.5,1.0,7.6,47.5,20.3,0.028,0.042,0.059,0.09,0,synthetic
Majestic,12.974082,77.572622,2024-01-01,12,1,Cloudy,0.0,8.5,0.708,12.3,57.6,20.2,0.052,0.048,0.051,0.097,0,synthetic
Majestic,12.979344,77.573766,2024-01-01,13,1,Clear,0.0,11.6,0.967,6.7,41.9,19.9,0.015,0.034,0.028,0.003,0,synthetic
Majestic,12.973876,77.569608,2024-01-01,14,1,Cloudy,0.0,8.2,0.683,9.4,59.5,23.8,0.041,0.057,0.08,0.103,0,synthetic
Majestic,12.977466,77.569399,2024-01-01,15,1,Cloudy,0.0,9.4,0.783,9.5,59.5,25.8,0.038,0.004,0.1,0.115,0,synthetic
Majestic,12.973884,77.572231,2024-01-01,16,1,Clear,0.0,12.0,1.0,11.4,42.1,24.0,0.008,0.002,0.072,0.007,0,synthetic
Majestic,12.97188,77.574892,2024-01-01,17,1,Clear,0.0,12.6,1.0,7.7,49.0,20.8,0.002,0.0,0.042,0.071,0,synthetic
Majestic,12.978075,77.567393,2024-01-01,18,1,Clear,0.0,12.2,1.0,12.4,44.2,20.2,0.0,0.0,0.062,0.015,0,synthetic
Majestic,12.979898,77.568703,2024-01-01,19,1,Clear,0.0,12.2,1.0,9.8,48.1,21.8,0.048,0.032,0.067,0.026,0,synthetic
Majestic,12.980182,77.575896,2024-01-01,20,1,Cloudy,0.0,8.4,0.7,8.2,61.0,20.4,0.054,0.073,0.075,0.137,1,synthetic
Majestic,12.976644,77.571292,2024-01-01,21,1,Clear,0.0,12.1,1.0,11.7,41.0,20.4,0.0,0.0,0.053,0.088,1,synthetic
Majestic,12.972306,77.569961,2024-01-01,22,1,Light Rain,2.42,7.2,0.6,13.3,75.6,17.5,0.0,0.0,0.287,0.229,1,synthetic
Majestic,12.972267,77.575353,2024-01-01,23,1,Clear,0.0,12.6,1.0,11.0,43.2,18.6,0.016,0.04,0.08,0.092,1,synthetic
MG Road,12.977329,77.601324,2024-01-01,0,1,Cloudy,0.0,9.1,0.758,15.3,66.5,18.1,0.0,0.0,0.08,0.131,1,synthetic
MG Road,12.973006,77.603363,2024-01-01,1,1,Clear,0.0,11.4,0.95,3.5,43.5,17.0,0.043,0.02,0.031,0.073,1,synthetic
MG Road,12.973797,77.609729,2024-01-01,2,1,Clear,0.0,12.2,1.0,12.2,41.6,19.3,0.0,0.005,0.059,0.088,1,synthetic
MG Road,12.970895,77.605541,2024-01-01,3,1,Clear,0.0,12.5,1.0,7.6,46.9,16.7,0.031,0.007,0.066,0.013,1,synthetic
MG Road,12.971736,77.607562,2024-01-01,4,1,Clear,0.0,12.5,1.0,10.8,45.8,17.0,0.0,0.0,0.051,0.05,1,synthetic
MG Road,12.976664,77.605278,2024-01-01,5,1,Fog,0.21,0.6,0.05,7.9,93.4,20.2,0.0,0.0,0.145,0.567,1,synthetic
MG Road,12.972731,77.600181,2024-01-01,6,1,Clear,0.0,11.6,0.967,9.8,47.7,16.4,0.048,0.067,0.077,0.076,0,synthetic
MG Road,12.970265,77.60958,2024-01-01,7,1,Clear,0.0,11.3,0.942,12.7,46.8,17.7,0.011,0.013,0.051,0.092,0,synthetic
MG Road,12.971214,77.600222,2024-01-01,8,1,Cloudy,0.0,9.2,0.767,12.5,60.8,18.3,0.002,0.0,0.089,0.115,0,synthetic
MG Road,12.974729,77.602777,2024-01-01,9,1,Clear,0.0,12.7,1.0,11.5,41.6,21.9,0.016,0.0,0.077,0.016,0,synthetic
MG Road,12.974496,77.605968,2024-01-01,10,1,Clear,0.0,12.6,1.0,8.5,41.5,20.4,0.0,0.019,0.026,0.093,0,synthetic
MG Road,12.97581,77.600584,2024-01-01,11,1,Clear,0.0,11.9,0.992,8.3,44.0,22.0,0.039,0.062,0.026,0.071,0,synthetic
MG Road,12.972354,77.608977,2024-01-01,12,1,Clear,0.0,12.3,1.0,12.2,43.0,21.7,0.025,0.01,0.055,0.039,0,synthetic
MG Road,12.973477,77.603905,2024-01-01,13,1,Strong Wind,1.17,8.5,0.708,66.4,63.3,21.2,0.0,0.022,0.137,0.524,0,synthetic
MG Road,12.975058,77.601016,2024-01-01,14,1,Clear,0.0,12.3,1.0,9.7,49.6,24.5,0.01,0.0,0.077,0.078,0,synthetic
MG Road,12.971519,77.603234,2024-01-01,15,1,Clear,0.0,11.6,0.967,9.0,48.4,25.1,0.0,0.0,0.064,0.08,0,synthetic
MG Road,12.975619,77.607372,2024-01-01,16,1,Cloudy,0.0,8.4,0.7,9.4,57.8,25.7,0.0,0.004,0.085,0.133,0,synthetic
MG Road,12.972558,77.601859,2024-01-01,17,1,Clear,0.0,12.2,1.0,4.4,48.7,19.6,0.0,0.0,0.034,0.063,0,synthetic
MG Road,12.970425,77.600385,2024-01-01,18,1,Fog,0.24,0.3,0.025,2.5,90.0,20.3,0.0,0.015,0.153,0.57,0,synthetic
MG Road,12.977076,77.602892,2024-01-01,19,1,Clear,0.0,12.0,1.0,11.5,42.1,21.8,0.054,0.019,0.05,0.065,0,synthetic
MG Road,12.972089,77.609781,2024-01-01,20,1,Clear,0.0,12.3,1.0,10.4,42.2,20.4,0.0,0.002,0.024,0.067,1,synthetic
MG Road,12.97486,77.604504,2024-01-01,21,1,Clear,0.0,11.2,0.933,12.6,40.5,22.2,0.004,0.022,0.076,0.076,1,synthetic
MG Road,12.97111,77.609593,2024-01-01,22,1,Fog,0.26,0.6,0.05,0.9,91.8,17.8,0.0,0.024,0.141,0.567,1,synthetic
MG Road,12.9782,77.60255,2024-01-01,23,1,Cloudy,0.0,9.1,0.758,11.4,63.4,19.5,0.05,0.039,0.095,0.119,1,synthetic
Indiranagar,12.973758,77.645424,2024-01-01,0,1,Clear,0.0,11.9,0.992,8.2,40.4,16.5,0.0,0.024,0.051,0.064,1,synthetic
Indiranagar,12.973902,77.643114,2024-01-01,1,1,Cloudy,0.0,9.3,0.775,13.8,63.5,17.9,0.0,0.015,0.073,0.099,1,synthetic
Indiranagar,12.976413,77.643272,2024-01-01,2,1,Cloudy,0.0,9.7,0.808,12.7,64.4,19.1,0.0,0.001,0.096,0.091,1,synthetic
Indiranagar,12.97276,77.643442,2024-01-01,3,1,Cloudy,0.0,8.7,0.725,13.5,63.2,18.6,0.0,0.0,0.105,0.142,1,synthetic
Indiranagar,12.975763,77.645426,2024-01-01,4,1,Clear,0.0,12.1,1.0,9.2,46.8,19.1,0.0,0.0,0.045,0.031,1,synthetic
Indiranagar,12.966731,77.642082,2024-01-01,5,1,Fog,0.21,0.2,0.017,1.9,91.7,20.2,0.0,0.007,0.178,0.561,1,synthetic
Indiranagar,12.968222,77.640345,2024-01-01,6,1,Cloudy,0.0,9.4,0.783,8.8,65.7,18.5,0.0,0.001,0.08,0.099,0,synthetic
Indiranagar,12.97229,77.645086,2024-01-01,7,1,Strong Wind,1.24,7.7,0.642,62.1,65.0,17.1,0.044,0.051,0.151,0.501,0,synthetic
Indiranagar,12.971857,77.638831,2024-01-01,8,1,Clear,0.0,12.5,1.0,4.4,46.7,17.3,0.055,0.034,0.068,0.093,0,synthetic
Indiranagar,12.969934,77.637052,2024-01-01,9,1,Cloudy,0.0,9.3,0.775,9.9,63.7,19.6,0.004,0.005,0.079,0.128,0,synthetic
Indiranagar,12.969517,77.636955,2024-01-01,10,1,Clear,0.0,12.8,1.0,6.9,45.6,22.3,0.0,0.0,0.039,0.085,0,synthetic
Indiranagar,12.97361,77.642682,2024-01-01,11,1,Clear,0.0,11.7,0.975,3.5,43.1,19.9,0.0,0.003,0.029,0.033,0,synthetic
Indiranagar,12.968728,77.64112,2024-01-01,12,1,Clear,0.0,12.2,1.0,7.8,40.3,21.5,0.027,0.033,0.05,0.005,0,synthetic
Indiranagar,12.973261,77.643028,2024-01-01,13,1,Cloudy,0.0,8.8,0.733,16.3,63.6,21.2,0.008,0.0,0.077,0.083,0,synthetic
Indiranagar,12.967195,77.63983,2024-01-01,14,1,Clear,0.0,11.7,0.975,11.1,45.5,24.4,0.033,0.026,0.051,0.033,0,synthetic
Indiranagar,12.972027,77.640362,2024-01-01,15,1,Cloudy,0.0,8.8,0.733,7.4,66.4,23.8,0.0,0.0,0.104,0.067,0,synthetic
Indiranagar,12.967617,77.645366,2024-01-01,16,1,Cloudy,0.0,9.7,0.808,14.1,62.6,23.7,0.025,0.02,0.105,0.065,0,synthetic
Indiranagar,12.968487,77.638895,2024-01-01,17,1,Clear,0.0,11.9,0.992,3.1,43.4,19.7,0.0,0.023,0.066,0.05,0,synthetic
Indiranagar,12.966601,77.644166,2024-01-01,18,1,Clear,0.0,12.2,1.0,9.0,40.8,21.5,0.008,0.018,0.03,0.055,0,synthetic
Indiranagar,12.968378,77.637153,2024-01-01,19,1,Clear,0.0,11.7,0.975,7.1,43.4,20.4,0.057,0.034,0.076,0.052,0,synthetic
Indiranagar,12.974234,77.637418,2024-01-01,20,1,Fog,0.22,0.2,0.017,2.9,87.5,22.2,0.038,0.004,0.121,0.525,1,synthetic
Indiranagar,12.973248,77.639297,2024-01-01,21,1,Clear,0.0,12.2,1.0,8.6,40.8,20.1,0.029,0.005,0.024,0.047,1,synthetic
Indiranagar,12.975913,77.640087,2024-01-01,22,1,Clear,0.0,12.0,1.0,8.3,41.5,18.2,0.035,0.001,0.061,0.09,1,synthetic
Indiranagar,12.967122,77.638287,2024-01-01,23,1,Fog,0.25,0.2,0.017,9.8,94.2,17.2,0.016,0.015,0.133,0.598,1,synthetic
Whitefield,12.97077,77.754731,2024-01-01,0,1,Fog,0.16,0.2,0.017,8.6,94.6,17.4,0.0,0.0,0.159,0.574,1,synthetic
Whitefield,12.96992,77.751992,2024-01-01,1,1,Clear,0.0,11.7,0.975,4.3,42.1,17.4,0.0,0.008,0.038,0.02,1,synthetic
Whitefield,12.972431,77.750212,2024-01-01,2,1,Clear,0.0,12.2,1.0,3.8,45.3,16.7,0.026,0.027,0.066,0.007,1,synthetic
Whitefield,12.967975,77.749111,2024-01-01,3,1,Cloudy,0.0,9.5,0.792,8.8,59.6,18.8,0.003,0.029,0.077,0.082,1,synthetic
Whitefield,12.964917,77.749823,2024-01-01,4,1,Clear,0.0,12.5,1.0,6.3,44.4,19.1,0.032,0.053,0.05,0.077,1,synthetic
Whitefield,12.96686,77.751037,2024-01-01,5,1,Clear,0.0,11.5,0.958,6.0,46.1,21.2,0.0,0.02,0.075,0.003,1,synthetic
Whitefield,12.964884,77.747455,2024-01-01,6,1,Clear,0.0,12.2,1.0,8.4,40.0,16.7,0.036,0.054,0.079,0.025,0,synthetic
Whitefield,12.973609,77.747033,2024-01-01,7,1,Cloudy,0.0,9.3,0.775,16.2,63.3,15.8,0.024,0.011,0.058,0.132,0,synthetic
Whitefield,12.968326,77.74754,2024-01-01,8,1,Clear,0.0,12.0,1.0,5.5,41.0,17.2,0.0,0.0,0.042,0.089,0,synthetic
Whitefield,12.968902,77.751751,2024-01-01,9,1,Cloudy,0.0,9.6,0.8,7.5,66.0,21.1,0.013,0.021,0.092,0.091,0,synthetic
Whitefield,12.965063,77.74925,2024-01-01,10,1,Clear,0.0,11.8,0.983,8.6,48.4,20.7,0.001,0.0,0.054,0.089,0,synthetic
Whitefield,12.972874,77.745893,2024-01-01,11,1,Cloudy,0.0,9.7,0.808,10.2,64.6,21.5,0.011,0.0,0.087,0.078,0,synthetic
Whitefield,12.970888,77.752704,2024-01-01,12,1,Clear,0.0,12.2,1.0,3.4,46.4,19.6,0.0,0.002,0.076,0.076,0,synthetic
Whitefield,12.969984,77.750665,2024-01-01,13,1,Clear,0.0,12.5,1.0,9.8,43.8,21.4,0.0,0.0,0.062,0.037,0,synthetic
Whitefield,12.973395,77.749519,2024-01-01,14,1,Cloudy,0.0,9.1,0.758,16.0,57.0,23.6,0.062,0.045,0.082,0.086,0,synthetic
Whitefield,12.968765,77.750933,2024-01-01,15,1,Clear,0.0,11.8,0.983,13.0,44.2,25.4,0.0,0.0,0.05,0.04,0,synthetic
Whitefield,12.966585,77.748288,2024-01-01,16,1,Fog,0.2,0.2,0.017,0.3,94.5,24.1,0.001,0.0,0.141,0.582,0,synthetic
Whitefield,12.966815,77.753412,2024-01-01,17,1,Cloudy,0.0,9.4,0.783,11.1,57.8,20.8,0.056,0.033,0.082,0.138,0,synthetic
Whitefield,12.96832,77.753868,2024-01-01,18,1,Fog,0.22,0.5,0.042,2.9,88.4,20.8,0.01,0.024,0.146,0.576,0,synthetic
Whitefield,12.969703,77.753674,2024-01-01,19,1,Clear,0.0,12.5,1.0,11.4,40.4,21.8,0.06,0.06,0.05,0.004,0,synthetic
Whitefield,12.973583,77.751702,2024-01-01,20,1,Clear,0.0,11.8,0.983,8.5,43.0,19.6,0.037,0.007,0.058,0.007,1,synthetic
Whitefield,12.971843,77.746934,2024-01-01,21,1,Clear,0.0,11.8,0.983,8.9,41.1,19.6,0.0,0.026,0.026,0.081,1,synthetic
Whitefield,12.971613,77.753974,2024-01-01,22,1,Clear,0.0,12.8,1.0,6.5,48.6,17.1,0.0,0.025,0.03,0.043,1,synthetic
Whitefield,12.969742,77.747082,2024-01-01,23,1,Clear,0.0,12.3,1.0,9.4,45.9,18.7,0.013,0.035,0.066,0.028,1,synthetic
Electronic City,12.843654,77.661476,2024-01-01,0,1,Fog,0.23,0.4,0.033,0.5,91.2,18.4,0.0,0.023,0.164,0.582,1,synthetic
Electronic City,12.848987,77.65687,2024-01-01,1,1,Cloudy,0.0,8.5,0.708,11.1,65.1,19.4,0.032,0.05,0.084,0.087,1,synthetic
Electronic City,12.848221,77.657618,2024-01-01,2,1,Clear,0.0,12.5,1.0,7.9,45.4,16.6,0.032,0.048,0.063,0.064,1,synthetic
Electronic City,12.841812,77.663511,2024-01-01,3,1,Fog,0.22,0.2,0.017,6.6,91.7,17.5,0.048,0.063,0.177,0.547,1,synthetic
Electronic City,12.845028,77.663053,2024-01-01,4,1,Clear,0.0,12.8,1.0,5.4,46.0,19.0,0.044,0.041,0.071,0.031,1,synthetic
Electronic City,12.847167,77.664575,2024-01-01,5,1,Clear,0.0,11.5,0.958,11.5,42.6,21.3,0.002,0.0,0.069,0.095,1,synthetic
Electronic City,12.842493,77.661889,2024-01-01,6,1,Clear,0.0,12.8,1.0,3.8,46.7,15.8,0.017,0.043,0.034,0.06,0,synthetic
