road_name,area,latitude,longitude,road_type,hour,date,congestion_level,average_speed_kmh,vehicle_density,delay_minutes,traffic_percentage,road_capacity_vph,road_width_m,signal_count,peak_hour,accident_probability,traffic_direction,is_road_closed,weather_condition,data_source
MG Road,City Centre,12.972309,77.603672,arterial,5,2024-01-02,0.074,38.2,9.8,0.1,7.4,3200,30,4,0,0.031,outbound,0,rainy,synthetic
MG Road,City Centre,12.974937,77.607914,arterial,6,2024-01-02,0.341,26.8,39.0,0.7,34.1,3200,30,7,0,0.071,one_way,0,clear,synthetic
MG Road,City Centre,12.973426,77.606369,arterial,7,2024-01-02,0.634,19.5,93.4,2.1,63.4,3200,30,4,1,0.115,inbound,0,rainy,synthetic
MG Road,City Centre,12.975215,77.602542,arterial,8,2024-01-02,0.647,18.8,90.8,2.2,64.7,3200,30,8,1,0.117,both,0,clear,synthetic
MG Road,City Centre,12.972245,77.605545,arterial,9,2024-01-02,0.694,15.3,80.9,2.6,69.4,3200,30,2,1,0.124,inbound,0,clear,synthetic
MG Road,City Centre,12.973359,77.605871,arterial,10,2024-01-02,0.318,26.3,42.6,0.7,31.8,3200,30,7,0,0.068,both,0,cloudy,synthetic
MG Road,City Centre,12.97762,77.602825,arterial,11,2024-01-02,0.267,32.1,34.0,0.5,26.7,3200,30,7,0,0.06,one_way,0,rainy,synthetic
MG Road,City Centre,12.977264,77.603548,arterial,12,2024-01-02,0.374,25.0,58.4,0.8,37.4,3200,30,5,0,0.076,both,0,clear,synthetic
MG Road,City Centre,12.975178,77.603451,arterial,13,2024-01-02,0.406,28.1,55.3,0.9,40.6,3200,30,5,0,0.081,outbound,0,clear,synthetic
MG Road,City Centre,12.975799,77.604034,arterial,14,2024-01-02,0.349,30.5,54.0,0.8,34.9,3200,30,5,0,0.072,one_way,0,clear,synthetic
MG Road,City Centre,12.977323,77.606679,arterial,15,2024-01-02,0.285,31.7,44.0,0.6,28.5,3200,30,8,0,0.063,both,0,clear,synthetic
MG Road,City Centre,12.977391,77.605639,arterial,16,2024-01-02,0.314,26.8,36.2,0.7,31.4,3200,30,3,0,0.067,both,0,clear,synthetic
MG Road,City Centre,12.97203,77.602965,arterial,17,2024-01-02,0.551,18.9,78.3,1.6,55.1,3200,30,4,1,0.103,inbound,0,clear,synthetic
MG Road,City Centre,12.973346,77.606273,arterial,18,2024-01-02,0.605,20.6,85.6,1.9,60.5,3200,30,3,1,0.111,both,0,rainy,synthetic
MG Road,City Centre,12.975898,77.607095,arterial,19,2024-01-02,0.574,19.4,84.0,1.7,57.4,3200,30,6,1,0.106,one_way,0,clear,synthetic
MG Road,City Centre,12.974206,77.603591,arterial,20,2024-01-02,0.616,19.5,68.8,2.0,61.6,3200,30,2,1,0.162,outbound,0,clear,synthetic
MG Road,City Centre,12.977352,77.605787,arterial,21,2024-01-02,0.274,33.5,35.0,0.5,27.4,3200,30,4,0,0.111,both,0,clear,synthetic
MG Road,City Centre,12.974955,77.603171,arterial,22,2024-01-02,0.149,34.9,20.5,0.3,14.9,3200,30,2,0,0.092,both,0,cloudy,synthetic
MG Road,City Centre,12.975873,77.603063,arterial,23,2024-01-02,0.142,33.8,15.4,0.2,14.2,3200,30,2,0,0.091,inbound,0,clear,synthetic
MG Road,City Centre,12.974221,77.602093,arterial,0,2024-01-03,0.164,37.1,25.5,0.3,16.4,3200,30,8,0,0.045,inbound,0,clear,synthetic
MG Road,City Centre,12.977782,77.607118,arterial,1,2024-01-03,0.163,34.0,25.8,0.3,16.3,3200,30,7,0,0.044,inbound,0,rainy,synthetic
MG Road,City Centre,12.973902,77.603017,arterial,2,2024-01-03,0.099,35.9,15.1,0.2,9.9,3200,30,4,0,0.035,outbound,0,cloudy,synthetic
MG Road,City Centre,12.97542,77.602583,arterial,3,2024-01-03,0.126,38.3,18.1,0.2,12.6,3200,30,6,0,0.039,one_way,0,rainy,synthetic
MG Road,City Centre,12.97511,77.607264,arterial,4,2024-01-03,0.132,38.5,15.0,0.2,13.2,3200,30,8,0,0.04,both,0,clear,synthetic
MG Road,City Centre,12.974157,77.603762,arterial,5,2024-01-03,0.144,36.3,20.8,0.3,14.4,3200,30,4,0,0.042,both,0,clear,synthetic
MG Road,City Centre,12.977479,77.605068,arterial,6,2024-01-03,0.331,30.6,50.6,0.7,33.1,3200,30,1,0,0.07,inbound,0,rainy,synthetic
MG Road,City Centre,12.976212,77.606775,arterial,7,2024-01-03,0.66,19.3,93.3,2.3,66.0,3200,30,4,1,0.119,both,0,clear,synthetic
MG Road,City Centre,12.972564,77.60547,arterial,8,2024-01-03,0.699,15.3,88.6,2.6,69.9,3200,30,1,1,0.125,inbound,0,clear,synthetic
MG Road,City Centre,12.973719,77.605545,arterial,9,2024-01-03,0.614,18.9,83.2,2.0,61.4,3200,30,1,1,0.112,outbound,0,clear,synthetic
MG Road,City Centre,12.974161,77.602762,arterial,10,2024-01-03,0.253,28.6,38.1,0.5,25.3,3200,30,4,0,0.058,outbound,0,cloudy,synthetic
MG Road,City Centre,12.975737,77.602512,arterial,11,2024-01-03,0.302,31.3,35.7,0.6,30.2,3200,30,4,0,0.065,inbound,0,rainy,synthetic
MG Road,City Centre,12.975825,77.606357,arterial,12,2024-01-03,0.345,28.5,46.8,0.7,34.5,3200,30,8,0,0.072,inbound,0,cloudy,synthetic
MG Road,City Centre,12.976771,77.603625,arterial,13,2024-01-03,0.438,25.2,54.2,1.1,43.8,3200,30,7,0,0.086,inbound,0,clear,synthetic
MG Road,City Centre,12.977776,77.607016,arterial,14,2024-01-03,0.384,24.4,41.5,0.9,38.4,3200,30,2,0,0.078,one_way,0,clear,synthetic
MG Road,City Centre,12.972939,77.603501,arterial,15,2024-01-03,0.32,28.6,37.0,0.7,32.0,3200,30,7,0,0.068,one_way,0,cloudy,synthetic
MG Road,City Centre,12.97368,77.607729,arterial,16,2024-01-03,0.305,30.9,43.3,0.6,30.5,3200,30,1,0,0.066,both,0,clear,synthetic
MG Road,City Centre,12.974518,77.603486,arterial,17,2024-01-03,0.624,19.1,86.9,2.0,62.4,3200,30,7,1,0.114,outbound,0,clear,synthetic
MG Road,City Centre,12.972696,77.602276,arterial,18,2024-01-03,0.586,21.6,62.9,1.8,58.6,3200,30,4,1,0.108,inbound,0,clear,synthetic
MG Road,City Centre,12.974845,77.602587,arterial,19,2024-01-03,0.554,23.3,79.9,1.6,55.4,3200,30,8,1,0.103,inbound,0,cloudy,synthetic
MG Road,City Centre,12.974603,77.604391,arterial,20,2024-01-03,0.599,19.5,69.4,1.9,59.9,3200,30,3,1,0.16,outbound,0,cloudy,synthetic
MG Road,City Centre,12.974248,77.605755,arterial,21,2024-01-03,0.312,30.2,34.0,0.6,31.2,3200,30,4,0,0.117,both,0,cloudy,synthetic
MG Road,City Centre,12.972978,77.602423,arterial,22,2024-01-03,0.12,38.0,17.1,0.2,12.0,3200,30,2,0,0.088,both,0,rainy,synthetic
MG Road,City Centre,12.977641,77.605453,arterial,23,2024-01-03,0.134,32.6,18.5,0.2,13.4,3200,30,1,0,0.09,both,0,clear,synthetic
MG Road,City Centre,12.975274,77.607649,arterial,0,2024-01-04,0.109,37.2,14.3,0.2,10.9,3200,30,3,0,0.036,one_way,0,cloudy,synthetic
MG Road,City Centre,12.973175,77.602416,arterial,1,2024-01-04,0.109,39.1,16.8,0.2,10.9,3200,30,8,0,0.036,inbound,0,cloudy,synthetic
MG Road,City Centre,12.976098,77.602427,arterial,2,2024-01-04,0.08,34.4,8.9,0.1,8.0,3200,30,1,0,0.032,inbound,0,cloudy,synthetic
MG Road,City Centre,12.976887,77.603691,arterial,3,2024-01-04,0.102,38.6,11.0,0.2,10.2,3200,30,1,0,0.035,one_way,0,clear,synthetic
MG Road,City Centre,12.977265,77.60641,arterial,4,2024-01-04,0.082,38.4,11.5,0.1,8.2,3200,30,8,0,0.032,outbound,0,cloudy,synthetic
MG Road,City Centre,12.976504,77.606841,arterial,5,2024-01-04,0.15,33.6,17.5,0.3,15.0,3200,30,8,0,0.043,inbound,0,clear,synthetic
MG Road,City Centre,12.976658,77.604045,arterial,6,2024-01-04,0.349,27.6,44.2,0.8,34.9,3200,30,5,0,0.072,inbound,0,clear,synthetic
MG Road,City Centre,12.976505,77.606527,arterial,7,2024-01-04,0.703,18.2,91.1,2.7,70.3,3200,30,1,1,0.125,outbound,0,clear,synthetic
MG Road,City Centre,12.976959,77.60392,arterial,8,2024-01-04,0.62,21.3,82.9,2.0,62.0,3200,30,1,1,0.113,one_way,0,rainy,synthetic
MG Road,City Centre,12.977432,77.602548,arterial,9,2024-01-04,0.7,15.6,75.0,2.6,70.0,3200,30,3,1,0.125,both,0,rainy,synthetic
MG Road,City Centre,12.975441,77.605791,arterial,10,2024-01-04,0.282,33.1,44.4,0.6,28.2,3200,30,2,0,0.062,inbound,0,clear,synthetic
MG Road,City Centre,12.976035,77.606514,arterial,11,2024-01-04,0.295,28.7,36.6,0.6,29.5,3200,30,2,0,0.064,inbound,0,cloudy,synthetic
MG Road,City Centre,12.974967,77.602345,arterial,12,2024-01-04,0.419,27.5,46.7,1.0,41.9,3200,30,2,0,0.083,inbound,0,rainy,synthetic
MG Road,City Centre,12.974105,77.602702,arterial,13,2024-01-04,0.395,26.2,60.8,0.9,39.5,3200,30,1,0,0.079,both,0,cloudy,synthetic
MG Road,City Centre,12.972607,77.602505,arterial,14,2024-01-04,0.354,29.5,49.5,0.8,35.4,3200,30,6,0,0.073,outbound,0,clear,synthetic
MG Road,City Centre,12.976237,77.602488,arterial,15,2024-01-04,0.32,26.6,48.2,0.7,32.0,3200,30,6,0,0.068,inbound,0,clear,synthetic
MG Road,City Centre,12.974224,77.606877,arterial,16,2024-01-04,0.258,34.1,32.7,0.5,25.8,3200,30,7,0,0.059,inbound,0,clear,synthetic
MG Road,City Centre,12.974258,77.602501,arterial,17,2024-01-04,0.645,21.0,94.7,2.2,64.5,3200,30,8,1,0.117,outbound,0,clear,synthetic
MG Road,City Centre,12.977438,77.602667,arterial,18,2024-01-04,0.628,19.0,81.2,2.1,62.8,3200,30,1,1,0.114,one_way,0,rainy,synthetic
MG Road,City Centre,12.972338,77.602713,arterial,19,2024-01-04,0.599,16.7,78.9,1.9,59.9,3200,30,2,1,0.11,both,0,rainy,synthetic
MG Road,City Centre,12.9755,77.607773,arterial,20,2024-01-04,0.562,21.8,82.3,1.6,56.2,3200,30,4,1,0.154,outbound,0,clear,synthetic
MG Road,City Centre,12.973342,77.607779,arterial,21,2024-01-04,0.287,28.9,44.0,0.6,28.7,3200,30,6,0,0.113,both,0,clear,synthetic
MG Road,City Centre,12.977347,77.605166,arterial,22,2024-01-04,0.071,40.4,7.8,0.1,7.1,3200,30,6,0,0.081,outbound,0,clear,synthetic
MG Road,City Centre,12.977816,77.605139,arterial,23,2024-01-04,0.169,31.7,23.1,0.3,16.9,3200,30,8,0,0.095,outbound,0,rainy,synthetic
MG Road,City Centre,12.975765,77.605506,arterial,0,2024-01-05,0.133,36.7,17.4,0.2,13.3,3200,30,1,0,0.04,outbound,0,clear,synthetic
MG Road,City Centre,12.977702,77.607342,arterial,1,2024-01-05,0.16,31.8,19.5,0.3,16.0,3200,30,3,0,0.044,outbound,0,clear,synthetic
MG Road,City Centre,12.973129,77.604782,arterial,2,2024-01-05,0.116,36.8,14.0,0.2,11.6,3200,30,2,0,0.037,inbound,0,clear,synthetic
MG Road,City Centre,12.977846,77.607917,arterial,3,2024-01-05,0.105,36.9,11.7,0.2,10.5,3200,30,5,0,0.036,inbound,0,clear,synthetic
MG Road,City Centre,12.976883,77.606108,arterial,4,2024-01-05,0.14,35.5,17.2,0.2,14.0,3200,30,4,0,0.041,outbound,0,rainy,synthetic
MG Road,City Centre,12.977699,77.606354,arterial,5,2024-01-05,0.086,39.5,13.0,0.1,8.6,3200,30,8,0,0.033,outbound,0,clear,synthetic
MG Road,City Centre,12.977196,77.602271,arterial,6,2024-01-05,0.311,28.9,48.7,0.6,31.1,3200,30,2,0,0.067,one_way,0,clear,synthetic
MG Road,City Centre,12.977924,77.602903,arterial,7,2024-01-05,0.613,18.4,91.8,2.0,61.3,3200,30,1,1,0.112,both,0,clear,synthetic
MG Road,City Centre,12.977053,77.60703,arterial,8,2024-01-05,0.669,16.5,106.0,2.4,66.9,3200,30,3,1,0.12,outbound,0,clear,synthetic
MG Road,City Centre,12.972338,77.607188,arterial,9,2024-01-05,0.657,17.2,79.6,2.3,65.7,3200,30,8,1,0.119,one_way,0,rainy,synthetic
MG Road,City Centre,12.975333,77.606614,arterial,10,2024-01-05,0.331,31.7,52.9,0.7,33.1,3200,30,1,0,0.07,both,0,clear,synthetic
MG Road,City Centre,12.974703,77.602775,arterial,11,2024-01-05,0.344,30.4,41.3,0.7,34.4,3200,30,3,0,0.072,both,0,clear,synthetic
MG Road,City Centre,12.97603,77.605709,arterial,12,2024-01-05,0.435,25.8,51.8,1.1,43.5,3200,30,3,0,0.085,one_way,0,clear,synthetic
MG Road,City Centre,12.975122,77.606634,arterial,13,2024-01-05,0.376,24.9,53.5,0.8,37.6,3200,30,1,0,0.076,outbound,0,clear,synthetic
MG Road,City Centre,12.975366,77.60726,arterial,14,2024-01-05,0.392,28.8,53.4,0.9,39.2,3200,30,1,0,0.079,outbound,0,clear,synthetic
MG Road,City Centre,12.976531,77.605722,arterial,15,2024-01-05,0.29,27.9,31.4,0.6,29.0,3200,30,4,0,0.064,both,0,clear,synthetic
MG Road,City Centre,12.972087,77.604104,arterial,16,2024-01-05,0.32,27.4,36.5,0.7,32.0,3200,30,7,0,0.068,inbound,0,clear,synthetic
MG Road,City Centre,12.977425,77.60409,arterial,17,2024-01-05,0.609,18.6,79.2,1.9,60.9,3200,30,3,1,0.111,inbound,0,cloudy,synthetic
MG Road,City Centre,12.975733,77.607174,arterial,18,2024-01-05,0.601,21.3,76.9,1.9,60.1,3200,30,1,1,0.11,inbound,0,clear,synthetic
MG Road,City Centre,12.974953,77.603549,arterial,19,2024-01-05,0.645,16.0,100.7,2.2,64.5,3200,30,7,1,0.117,inbound,0,clear,synthetic
MG Road,City Centre,12.973973,77.6058,arterial,20,2024-01-05,0.596,22.6,79.2,1.8,59.6,3200,30,3,1,0.159,both,0,cloudy,synthetic
MG Road,City Centre,12.972768,77.602911,arterial,21,2024-01-05,0.274,28.1,31.1,0.5,27.4,3200,30,1,0,0.111,one_way,0,clear,synthetic
MG Road,City Centre,12.974074,77.607381,arterial,22,2024-01-05,0.084,38.0,9.8,0.1,8.4,3200,30,4,0,0.083,one_way,0,clear,synthetic
MG Road,City Centre,12.973154,77.602245,arterial,23,2024-01-05,0.117,37.0,13.6,0.2,11.7,3200,30,5,0,0.088,inbound,0,clear,synthetic
MG Road,City Centre,12.972532,77.602724,arterial,0,2024-01-06,0.087,35.7,10.1,0.1,8.7,3200,30,1,0,0.033,inbound,0,cloudy,synthetic
MG Road,City Centre,12.975021,77.606142,arterial,1,2024-01-06,0.116,34.3,14.6,0.2,11.6,3200,30,6,0,0.037,outbound,0,clear,synthetic
MG Road,City Centre,12.972491,77.607241,arterial,2,2024-01-06,0.074,39.3,10.4,0.1,7.4,3200,30,5,0,0.031,outbound,0,rainy,synthetic
MG Road,City Centre,12.976837,77.60649,arterial,3,2024-01-06,0.162,31.9,19.7,0.3,16.2,3200,30,7,0,0.044,outbound,0,clear,synthetic
MG Road,City Centre,12.974907,77.60571,arterial,4,2024-01-06,0.088,35.2,11.2,0.1,8.8,3200,30,2,0,0.033,outbound,0,clear,synthetic
MG Road,City Centre,12.97222,77.603515,arterial,5,2024-01-06,0.107,36.1,15.7,0.2,10.7,3200,30,5,0,0.036,both,0,clear,synthetic
MG Road,City Centre,12.975193,77.602643,arterial,6,2024-01-06,0.321,31.4,43.0,0.7,32.1,3200,30,7,0,0.068,outbound,0,clear,synthetic
MG Road,City Centre,12.973615,77.604264,arterial,7,2024-01-06,0.655,17.9,78.3,2.3,65.5,3200,30,7,1,0.118,both,0,cloudy,synthetic
MG Road,City Centre,12.973965,77.602719,arterial,8,2024-01-06,0.612,18.1,72.2,2.0,61.2,3200,30,4,1,0.112,outbound,0,clear,synthetic
MG Road,City Centre,12.976735,77.604991,arterial,9,2024-01-06,0.699,16.8,99.9,2.6,69.9,3200,30,7,1,0.125,both,0,rainy,synthetic
MG Road,City Centre,12.976473,77.60459,arterial,10,2024-01-06,0.259,31.4,35.7,0.5,25.9,3200,30,4,0,0.059,outbound,0,cloudy,synthetic
MG Road,City Centre,12.975876,77.605425,arterial,11,2024-01-06,0.263,29.8,33.1,0.5,26.3,3200,30,2,0,0.059,outbound,0,rainy,synthetic
MG Road,City Centre,12.973423,77.602611,arterial,12,2024-01-06,0.376,30.1,52.2,0.8,37.6,3200,30,6,0,0.076,both,0,clear,synthetic
MG Road,City Centre,12.973119,77.603711,arterial,13,2024-01-06,0.355,26.4,40.9,0.8,35.5,3200,30,5,0,0.073,one_way,0,clear,synthetic
MG Road,City Centre,12.975147,77.604462,arterial,14,2024-01-06,0.357,30.2,39.6,0.8,35.7,3200,30,7,0,0.074,outbound,0,rainy,synthetic
MG Road,City Centre,12.977817,77.607193,arterial,15,2024-01-06,0.348,25.8,44.5,0.8,34.8,3200,30,3,0,0.072,inbound,0,cloudy,synthetic
MG Road,City Centre,12.976012,77.607576,arterial,16,2024-01-06,0.332,27.3,38.4,0.7,33.2,3200,30,7,0,0.07,inbound,0,rainy,synthetic
MG Road,City Centre,12.976617,77.603122,arterial,17,2024-01-06,0.606,19.8,73.6,1.9,60.6,3200,30,5,1,0.111,one_way,0,rainy,synthetic
MG Road,City Centre,12.973454,77.602689,arterial,18,2024-01-06,0.582,19.8,77.9,1.8,58.2,3200,30,1,1,0.107,outbound,0,clear,synthetic
MG Road,City Centre,12.972926,77.604887,arterial,19,2024-01-06,0.611,18.0,84.1,1.9,61.1,3200,30,4,1,0.112,one_way,0,rainy,synthetic
MG Road,City Centre,12.972806,77.60238,arterial,20,2024-01-06,0.603,16.8,75.2,1.9,60.3,3200,30,6,1,0.16,one_way,0,cloudy,synthetic
MG Road,City Centre,12.973528,77.606089,arterial,21,2024-01-06,0.349,27.1,52.3,0.8,34.9,3200,30,8,0,0.122,inbound,0,rainy,synthetic
MG Road,City Centre,12.974471,77.604093,arterial,22,2024-01-06,0.146,35.6,19.2,0.3,14.6,3200,30,8,0,0.092,inbound,0,clear,synthetic
MG Road,City Centre,12.972746,77.606385,arterial,23,2024-01-06,0.163,36.4,25.8,0.3,16.3,3200,30,5,0,0.094,outbound,0,clear,synthetic
MG Road,City Centre,12.976447,77.605447,arterial,0,2024-01-07,0.164,32.5,18.1,0.3,16.4,3200,30,4,0,0.045,outbound,0,clear,synthetic
MG Road,City Centre,12.97321,77.602982,arterial,1,2024-01-07,0.154,32.6,23.0,0.3,15.4,3200,30,4,0,0.043,inbound,0,clear,synthetic
MG Road,City Centre,12.975138,77.604153,arterial,2,2024-01-07,0.086,38.9,12.3,0.1,8.6,3200,30,1,0,0.033,inbound,0,cloudy,synthetic
MG Road,City Centre,12.974635,77.604262,arterial,3,2024-01-07,0.158,34.0,23.7,0.3,15.8,3200,30,2,0,0.044,one_way,0,cloudy,synthetic
MG Road,City Centre,12.975016,77.603393,arterial,4,2024-01-07,0.116,34.9,17.0,0.2,11.6,3200,30,4,0,0.037,one_way,0,cloudy,synthetic
MG Road,City Centre,12.977439,77.605745,arterial,5,2024-01-07,0.16,33.9,21.7,0.3,16.0,3200,30,7,0,0.044,inbound,0,clear,synthetic
MG Road,City Centre,12.974009,77.602836,arterial,6,2024-01-07,0.262,33.7,36.7,0.5,26.2,3200,30,1,0,0.059,both,0,cloudy,synthetic
MG Road,City Centre,12.977363,77.606732,arterial,7,2024-01-07,0.689,17.3,93.2,2.5,68.9,3200,30,4,1,0.123,inbound,0,rainy,synthetic
MG Road,City Centre,12.976464,77.602201,arterial,8,2024-01-07,0.625,17.6,75.0,2.0,62.5,3200,30,8,1,0.114,both,0,rainy,synthetic
MG Road,City Centre,12.974052,77.606928,arterial,9,2024-01-07,0.667,18.9,102.3,2.4,66.7,3200,30,4,1,0.12,both,0,cloudy,synthetic
MG Road,City Centre,12.974384,77.606784,arterial,10,2024-01-07,0.261,33.2,29.6,0.5,26.1,3200,30,3,0,0.059,one_way,0,rainy,synthetic
MG Road,City Centre,12.97632,77.605847,arterial,11,2024-01-07,0.265,29.4,38.5,0.5,26.5,3200,30,6,0,0.06,one_way,0,rainy,synthetic
MG Road,City Centre,12.974074,77.60309,arterial,12,2024-01-07,0.409,26.3,49.2,1.0,40.9,3200,30,7,0,0.081,one_way,0,clear,synthetic
MG Road,City Centre,12.974772,77.607684,arterial,13,2024-01-07,0.431,25.9,55.2,1.0,43.1,3200,30,8,0,0.085,one_way,0,clear,synthetic
MG Road,City Centre,12.975669,77.602109,arterial,14,2024-01-07,0.355,28.4,47.5,0.8,35.5,3200,30,4,0,0.073,outbound,0,rainy,synthetic
MG Road,City Centre,12.97618,77.607535,arterial,15,2024-01-07,0.337,31.1,46.1,0.7,33.7,3200,30,8,0,0.071,inbound,0,clear,synthetic
MG Road,City Centre,12.97564,77.604545,arterial,16,2024-01-07,0.321,27.0,44.1,0.7,32.1,3200,30,8,0,0.068,both,0,clear,synthetic
MG Road,City Centre,12.974705,77.602679,arterial,17,2024-01-07,0.624,21.4,97.3,2.0,62.4,3200,30,4,1,0.114,outbound,0,clear,synthetic
MG Road,City Centre,12.977525,77.607219,arterial,18,2024-01-07,0.648,20.0,73.5,2.2,64.8,3200,30,6,1,0.117,both,0,clear,synthetic
MG Road,City Centre,12.972329,77.604011,arterial,19,2024-01-07,0.602,20.1,77.0,1.9,60.2,3200,30,3,1,0.11,inbound,0,cloudy,synthetic
MG Road,City Centre,12.974389,77.605224,arterial,20,2024-01-07,0.63,15.6,78.4,2.1,63.0,3200,30,3,1,0.165,inbound,0,clear,synthetic
MG Road,City Centre,12.976425,77.604713,arterial,21,2024-01-07,0.342,27.5,42.8,0.7,34.2,3200,30,7,0,0.121,one_way,0,clear,synthetic
MG Road,City Centre,12.973058,77.60499,arterial,22,2024-01-07,0.092,36.6,10.6,0.2,9.2,3200,30,8,0,0.084,one_way,0,clear,synthetic
MG Road,City Centre,12.975484,77.605794,arterial,23,2024-01-07,0.112,38.7,14.1,0.2,11.2,3200,30,4,0,0.087,one_way,0,cloudy,synthetic
MG Road,City Centre,12.977766,77.602892,arterial,0,2024-01-08,0.071,38.6,8.3,0.1,7.1,3200,30,1,0,0.031,one_way,0,cloudy,synthetic
MG Road,City Centre,12.975013,77.605572,arterial,1,2024-01-08,0.111,33.7,17.8,0.2,11.1,3200,30,1,0,0.037,outbound,0,clear,synthetic
MG Road,City Centre,12.977388,77.603231,arterial,2,2024-01-08,0.077,38.9,9.0,0.1,7.7,3200,30,7,0,0.032,one_way,0,rainy,synthetic
